Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Shashank Shah,"MBBS, MS - General Surgery",33 Years Experience Overall  (29 years as specialist),Ophthalmologist,"Sadashiv Peth, Pune",95%,(44 votes),₹1500
Dr. Sudhir A Jadhav,"MBBS, MS - General Surgery",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Kharadi, Pune",100%,(191 votes),₹650
Dr. Neeraj Rayate,"MS - General Surgery, MBBS, DNB - General Surgery",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Shivajinagar, Pune",99%,(335 votes),₹300
Dr. Chetan N. Mhaske,"MBBS, MS - General Surgery",20 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Hadapsar, Pune",97%,(60 votes),₹500
Dr. Shrikant Kurhade,"MBBS, MS - General Surgery",14 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Alandi Devachi, Pune",100%,(120 votes),₹350
Dr. Kedar Pratap Patil,"DNB - General Surgery, MBBS",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Sadashiv Peth, Pune",100%,(19 votes),₹500
Dr. Ashish Kumar Shrivastav,"MBBS, DNB - General Surgery",22 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Shivajinagar, Pune",100%,(12 votes),₹500
Dr. Satish Pattanshetti,"MBBS, MS - General Surgery",20 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Bavdhan, Pune",99%,(200 votes),₹900
Dr. S P SIngh,"DNB - General Surgery, MBBS, FCPS - General Surgery",18 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Koregaon Park, Pune",82%,(17 votes),₹500
Dr. Swati Inamdar,"MBBS, MS - General Surgery, DNB - General Surgery",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Warje, Pune",100%,(29 votes),₹250
Dr. Sushil Deshmukh,"MBBS, MS - General Surgery",14 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Viman Nagar, Pune",94%,(78 votes),₹500
Dr. Nikunj Bansal,"MBBS, MS - General Surgery",21 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹499
Dr. Deep Goel,"MBBS, DNB - General Surgery",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1500
Dr. Ashish Pitale,"MBBS, MS - General Surgery, FRCS - General Surgery",31 Years Experience Overall  (28 years as specialist),Ophthalmologist,"Dwarka, Delhi",97%,(68 votes),₹700
Dr. Sumeet Shah,"MBBS, MS - General Surgery, DNB - General Surgery",28 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Greater Kailash Part 1, Delhi",0,0,₹1200
Dr. Ashish Sachan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Dilshad Garden, Delhi",100%,(67 votes),₹800
Dr. Randeep Wadhawan,"MBBS, MS - General Surgery",33 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",0,0,₹1100
Dr. Saurabh Bansal,"MBBS, DNB - General Surgery",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Green Park, Delhi",100%,(34 votes),₹1000
Dr. Ravindra Vats,"MBBS, MS - General Surgery",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1500
Dr. Shailender Kumar Jain,"MBBS, MS - General Surgery",27 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Dwarka, Delhi",83%,(47 votes),₹500
Dr. Sandeep Jain,"MBBS, DNB - General Surgery",20 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Patparganj, Delhi",92%,(12 votes),₹800
Dr. Pradeep K Dewan,"MBBS, MS - General Surgery",42 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹800
Dr. Naveen Kumar Verma,"MBBS, MS - General Surgery",7 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",0,0,₹1100
Dr. Arun Bhardwaj,"MBBS, MS - General Surgery, DNB - General Surgery, MRCS (UK)",13 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",100%,(13 votes),₹1100
Dr. Suresh Kumar Abrol,"MBBS, MS - General Surgery",42 Years Experience Overall,Ophthalmologist,"Punjabi Bagh, Delhi",0,0,₹1000
Dr. Bhoopendra Prasad,"MBBS, MS - General Surgery",20 Years Experience Overall,Ophthalmologist,"Vasant Kunj, Delhi",0,0,₹1000
Dr. Shailesh Gupta,"MBBS, MS - General Surgery",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹800
Dr. Jotinder Khanna,"MBBS, MS - General Surgery, FNB - Minimal Access Surgery",25 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Nehru Place, Delhi",100%,(33 votes),₹1000
Dr. Amit Agarwal,"MBBS, MS - General Surgery, DNB - General Medicine",19 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Pusa Road, Delhi",100%,(25 votes),₹1800
Dr. Arun Prasad,"MBBS, MS - General Surgery, FRCS - General Surgery, Fellow of American College of Surgeons(FACS)",38 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",100%,(17 votes),₹1500
Dr. Pradeep Jain,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MCh - Surgical Oncology",36 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Shalimar Bagh, Delhi",85%,(47 votes),₹1500
Dr. Mohit Jain,"MBBS, MS - General Surgery",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Pusa Road, Delhi",97%,(39 votes),₹1800
Dr. Arush Sabharwal,"MBBS, MS - General Surgery",13 Years Experience Overall,Ophthalmologist,"Karol Bagh, Delhi",0,0,₹850
Dr. Sandip Banerjee,"MBBS, DNB - General Surgery, MNAMS - General Surgery",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Nehru Place, Delhi",0,0,₹1000
Dr. Amit Javed,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Punjabi Bagh, Delhi",99%,(235 votes),₹1000
Dr. Aloy J Mukherjee,"MBBS, MS - General Surgery",25 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹1500
Dr. Muneendra Gupta,"MBBS, MS - General Surgery",46 Years Experience Overall  (41 years as specialist),Ophthalmologist,"Vasant Kunj, Delhi",85%,(46 votes),₹1500
Dr. Amit Jain,"MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MBBS",18 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Patparganj, Delhi",89%,(195 votes),₹800
Dr. Pankaj Sharma,"MBBS, MS - General Surgery",30 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Rohini, Delhi",97%,(214 votes),₹1000
Dr. Harmeet Singh Kapoor,"MBBS, MS - General Surgery",34 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1800
Dr. Rekha Jaiswal,"MBBS, MS - General Surgery",29 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹1500
Dr. Sukhvinder Singh Saggu,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Punjabi Bagh, Delhi",91%,(11 votes),₹1000
Dr. Vivek Bindal,"MBBS, DNB - General Surgery, MS - General Surgery, MRCS (UK), FNB - Minimal Access Surgery, MNAMS - General Surgery",13 Years Experience Overall,Ophthalmologist,"Patparganj, Delhi",0,0,₹1000
Dr. S S Bhagat,"MBBS, MS - General Surgery",39 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹600
Dr. Atul N.C. Peters,"MBBS, DNB - General Surgery",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Saket, Delhi",0,0,₹2000
Dr. Sushant Verma,"MBBS, MS - General Surgery, DNB - General Surgery",13 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Shalimar Bagh, Delhi",0,0,₹600
Dr. Ashutosh Jha,"MBBS, MS - General Surgery",30 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹400
Dr. Sanjay Verma,"MBBS, MS - General Surgery",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Okhla, Delhi",0,0,₹1500
Dr. Preethi Mrinalini K,"MBBS, MS - General Surgery",10 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Nungambakkam, Chennai",100%,(33 votes),₹700
Dr. T.S.Chandrasekar,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Perungudi, Chennai",97%,(60 votes),₹700
Dr. Prabudoss,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Velachery, Chennai",96%,(410 votes),₹700
Dr. Raj Palaniappan,"MS - General Surgery, MBBS",25 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Greams Road, Chennai",97%,(242 votes),₹2500
Dr. Carunya Mannan,"MBBS, MS - General Surgery",9 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹1000
Dr. Rajkumar Palaniappan,"MBBS, MS - General Surgery",25 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Greams Road, Chennai",0,0,₹1000
Dr. Perungo Thirumarai Chelvan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",18 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Chromepet, Chennai",82%,(11 votes),₹800
Dr. Naveen Alexander,"MS - General Surgery, MBBS",16 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Kilpauk, Chennai",95%,(22 votes),₹500
Dr. Yamini,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",22 Years Experience Overall  (21 years as specialist),Ophthalmologist,"T Nagar, Chennai",95%,(102 votes),₹400
Dr. Prakash Hindurao Kurane,"MBBS, MS - General Surgery",8 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",0,0,₹999
Dr. Vishal Diddi,"MBBS, DNB - General Surgery, FCPS - General Surgery",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Andheri, Mumbai",100%,(37 votes),₹700
Dr. Jayashree Todkar,"MBBS, MS - General Surgery",30 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Powai, Mumbai",95%,(111 votes),₹1500
Dr. Manoj Gandhi,"DNB - General Surgery, MBBS",27 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Dadar, Mumbai",90%,(21 votes),₹1500
Dr. Rais Ansari,"MS - General Surgery, MBBS",22 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Worli, Mumbai",98%,(40 votes),₹3500
Dr. Sanjay Borude,"MS - General Surgery, MBBS",38 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Chembur, Mumbai",98%,(102 votes),₹3000
Dr. Laxman Salve,"MBBS, MS - General Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Chembur, Mumbai",99%,(168 votes),₹2000
Dr. Aparna Govil Bhasker,"MS - General Surgery, MBBS",16 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",94%,(106 votes),₹1500
Dr. Ramen Goel,"MBBS, MS - General Surgery",36 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Chembur, Mumbai",96%,(25 votes),₹1500
Dr. Manish Motwani,"MBBS, MS - General Surgery",26 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Mulund West, Mumbai",89%,(18 votes),₹1000
Dr. Hemal Bhagat,"MBBS, DNB - General Surgery, Diploma in Laparoscopy",28 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Andheri West, Mumbai",98%,(1153 votes),₹2000
Dr. Muffazal Lakdawala,"MBBS, MS - General Surgery",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Worli, Mumbai",97%,(168 votes),₹4000
Dr. Brijesh Dube,"MBBS, MS - General Surgery",24 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Malad West, Mumbai",0,0,₹1000
Dr. E.Debaraju Reddy,"MBBS, DNB - General Surgery",21 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Nizampet, Hyderabad",99%,(164 votes),₹300
Dr. Ananda Kumar,"MBBS, MS - General Surgery, FRCS (Edinburgh)",29 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Ameerpet, Hyderabad",98%,(1072 votes),₹1200
Dr. T Varun Raju,"MBBS, DNB - General Surgery",27 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Erragadda, Hyderabad",93%,(28 votes),₹300
Dr. C Raja Krishna Prasad,"MS - General Surgery, MBBS",30 Years Experience Overall,Ophthalmologist,"Hyderguda, Hyderabad",0,0,₹1000
Dr. Nandakishore Dukkipati,"MBBS, Diplomate of the American Board of Surgery (General Surgery)",28 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",100%,(81 votes),₹850
Dr. P. Jayasimha Reddy,"MBBS, MS - General Surgery",24 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Vidyanagar, Hyderabad",100%,(85 votes),₹500
Dr. Dipti Thakkar,"MBBS, DNB - General Surgery",16 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",96%,(49 votes),₹500
Dr. G Suresh Chandra Hari,"MBBS, MS - General Surgery",36 Years Experience Overall,Ophthalmologist,"Lingampally, Hyderabad",89%,(46 votes),₹800
Dr. Patwadi Ajay Kumar,"MS - General Surgery, MBBS",13 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Kondapur, Hyderabad",100%,(25 votes),₹500
Dr. Pradeep Panigrahi,"MBBS, MS - General Surgery",24 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Karmanghat, Hyderabad",98%,(43 votes),₹350
Dr. Ravula Phani Krishna,"MS - General Surgery, MRCS (UK), MCh - Surgical Gastroenterology/G.I. Surgery, MBBS, DNB - Gastroenterology",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Hitech City, Hyderabad",95%,(441 votes),₹600
Dr. Y.Krishna Mohan,"MBBS, MS - General Surgery",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Banjara Hills, Hyderabad",0,0,₹500
Dr. Alok Rath,"MBBS, MS - General Surgery",22 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Banjara Hills, Hyderabad",0,0,₹500
Dr. Mahidhar Valeti,"MBBS, MS - General Surgery",35 Years Experience Overall  (29 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹900
Dr. Surendra Ugale,"MBBS, MS - General Surgery",38 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Basheerbagh, Hyderabad",100%,(25 votes),₹1000
Dr. Amar Vennapusa,"MBBS, MS - General Surgery, MRCS (UK), DNB - General Surgery",23 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",0,0,₹500
Dr. Prashant Philip Das,"MS - General Surgery, MBBS, FNB - Minimal Access Surgery",15 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Secunderabad, Hyderabad",0,0,₹500
Dr. Jayanth K Chowdary,"MBBS, MS - General Surgery, Diploma in Laparoscopy",19 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Madinaguda, Hyderabad",53%,(30 votes),₹500
Dr. Pavan kumar,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",12 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Somajiguda, Hyderabad",0,0,₹600
Dr. V Pavan Kumar,"MBBS, DNB - Surgical Gastroenterology, MS - General Surgery",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Kondapur, Hyderabad",0,0,₹500
Dr. Abhishek Katakwar,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",13 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹500
Dr. Krishna Moorthy,"MBBS, MS - General Surgery, MCh - Plastic Surgery",9 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹500
Dr. Jayasimha Nagella,"MBBS, DNB - General Surgery",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Kothapet, Hyderabad",0,0,₹250
Dr. Ramnaresh Soudri,"MBBS, MD - General Medicine, DM - Cardiology",5 Years Experience Overall,Cardiologist,"HSR Layout, Bangalore",96%,(28 votes),₹700
Dr. Roopa. R,"MBBS, MD - General Medicine, DNB - Cardiology",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Banashankari 2nd Stage, Bangalore",95%,(172 votes),₹650
Dr. Balaraju D,"MD - General Medicine, DNB - Cardiology, MBBS",12 Years Experience Overall  (6 years as specialist),Cardiologist,"Jayanagar 9 Block, Bangalore",0,0,₹750
Dr. N Praveen Kumar,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)",15 Years Experience Overall,Cardiologist,"Yelahanka, Bangalore",90%,(101 votes),₹500
Dr. Srinivas Prasad B V,"MBBS, MD - Medicine, DM - Cardiology",21 Years Experience Overall  (5 years as specialist),Cardiologist,"Jayanagar 4 Block, Bangalore",100%,(19 votes),₹600
Dr. Nagaraja Moorthy,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (10 years as specialist),Cardiologist,"Hulimavu, Bangalore",99%,(206 votes),₹700
Dr. Prabhakar C Koregol,"DM - Cardiology, MD - General Medicine, MBBS",23 Years Experience Overall  (15 years as specialist),Cardiologist,"Malleswaram, Bangalore",97%,(1553 votes),₹700
Dr. Nataraja Setty,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (8 years as specialist),Cardiologist,"JP Nagar 6 Phase, Bangalore",99%,(184 votes),₹700
Dr. Jai Babu,"MBBS, MD - Medicine, DM - Cardiology",18 Years Experience Overall  (14 years as specialist),Cardiologist,"Marathahalli, Bangalore",98%,(85 votes),₹600
Dr. AV Praveen Kumar,"MBBS, DNB - General Medicine, DNB - Cardiology",23 Years Experience Overall  (10 years as specialist),Cardiologist,"HBR Layout, Bangalore",98%,(129 votes),₹900
Dr. Govardhan Reddy K,"MBBS, DNB - Cardiothoracic Surgery",17 Years Experience Overall  (4 years as specialist),Cardiologist,"Sahakaranagar, Bangalore",100%,(18 votes),₹600
Dr. Shivanand S Patil,"MBBS, MD - General Medicine, DM - Cardiology",23 Years Experience Overall  (13 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",95%,(86 votes),₹900
Dr. Rajpal Singh RL,"MBBS, MRCP (UK), CCT - Cardiology",23 Years Experience Overall  (14 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",87%,(52 votes),₹900
Dr. Nagamani A.C,"DM - Cardiology, MBBS",22 Years Experience Overall  (21 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",95%,(22 votes),₹850
Dr. Prajith Pasam,"MBBS, MD - General Medicine, DM - Cardiology",9 Years Experience Overall,Cardiologist,"HSR Layout, Bangalore",0,0,₹600
Dr. Santhosh Kumar,"DM - Cardiology, MD - General Medicine, MBBS",18 Years Experience Overall  (8 years as specialist),Cardiologist,"JP Nagar 7 Phase, Bangalore",0,0,₹600
Dr. Ashok Kumar P,"MBBS, MD - General Medicine, DM - Cardiology",31 Years Experience Overall  (11 years as specialist),Cardiologist,"Vasanthnagar, Bangalore",0,0,₹700
Dr. Kapil Rangan,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (13 years as specialist),Cardiologist,"Kundalahalli, Bangalore",87%,(15 votes),₹850
Dr. Srinivas V K,"MBBS, MD - General Medicine, DM - Cardiology",38 Years Experience Overall  (28 years as specialist),Cardiologist,"Ashoknagar, Bangalore",0,0,₹800
Dr. B. Ramesh,"DM - Cardiology, MD - General Medicine, MBBS",36 Years Experience Overall  (32 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",98%,(983 votes),₹1000
Dr. Jayaranganath M,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (26 years as specialist),Cardiologist,"Seshadripuram, Bangalore",91%,(22 votes),₹740
Dr. K. S. S. Bhat,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)",42 Years Experience Overall,Cardiologist,"Old Airport Road, Bangalore",0,0,₹900
Dr. Raghavendra Chikkatur,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",22 Years Experience Overall  (17 years as specialist),Cardiologist,"Kengeri, Bangalore",88%,(24 votes),₹700
