,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
94,Dr. Ashvith Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",14 Years Experience Overall  (10 years as specialist),Dermatologist,"Powai, Mumbai",98% ,(249 votes),₹1100
95,Dr. Bhavishya Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall,Dermatologist,"HSR Layout, Bangalore",0,0,₹600
96,Dr. Antionetta Ashwini J,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (7 years as specialist),Dermatologist,"T Nagar, Chennai",0,0,₹700
97,Dr. Priya Vernekar,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (7 years as specialist),Dermatologist,"Whitefield, Bangalore",100% ,(18 votes),₹600
98,Dr. Sandeep Mahapatra,"MBBS, MD - Dermatology , Venereology & Leprosy",17 Years Experience Overall  (12 years as specialist),Dermatologist,"Marathahalli, Bangalore",91% ,(1841 votes),₹800
99,Dr. Amol Bhandkar,"MBBS, DDVL",19 Years Experience Overall  (15 years as specialist),Dermatologist,"Kharadi, Pune",97% ,(1110 votes),₹500
100,Dr. Kiran Joshy,"MBBS, DDVL",14 Years Experience Overall  (9 years as specialist),Dermatologist,"RT Nagar, Bangalore",96% ,(210 votes),₹600
101,Dr. Ankita Pant,"MBBS, MD - Dermatology",12 Years Experience Overall  (9 years as specialist),Dermatologist,"Panchsheel Park, Delhi",0,0,₹1000
102,Dr. Adrian Mario Dsouza,"MBBS, MD - Dermatology , Venereology & Leprosy",9 Years Experience Overall  (4 years as specialist),Dermatologist,"Ashoknagar, Bangalore",0,0,₹800
103,Dr. Aneet Kaur,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall  (1 year as specialist),Dermatologist,"Anand Vihar, Delhi",0,0,₹600
104,Dr. Dilshad Shetty,"MBBS, DDVL",17 Years Experience Overall  (13 years as specialist),Dermatologist,"HRBR Layout, Bangalore",97% ,(76 votes),₹600
105,Dr. Rakesh Reddy,"MBBS, Master of Public Health (MPH), DDVL",23 Years Experience Overall  (8 years as specialist),Dermatologist,"Sanjay Nagar, Bangalore",94% ,(85 votes),₹500
106,Dr. Priyanka K,"MBBS, DNB - Dermatology, Venereology & Leprosy, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (2 years as specialist),Dermatologist,"Mahadevapura, Bangalore",0,0,₹700
107,Dr. Rashmi Ravindra,"MBBS, MD - Dermatology , Venereology & Leprosy",15 Years Experience Overall  (14 years as specialist),Dermatologist,"Bannerghatta Road, Bangalore",0,0,₹850
108,Dr. Prerna Sikka,"MBBS, DDVL",12 Years Experience Overall  (11 years as specialist),Dermatologist,"Indiranagar, Bangalore",0,0,₹800
109,Dr. Tejaswini Salunke,"MBBS, DDVL",13 Years Experience Overall  (2 years as specialist),Dermatologist,"Wanowrie, Pune",0,0,₹500
110,Dr. Richa Sharma,"MBBS, MD - Dermatology , Venereology & Leprosy",25 Years Experience Overall  (19 years as specialist),Dermatologist,"Dwarka, Delhi",96% ,(1450 votes),₹1500
111,Dr. Aamir Siddiqui,"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship In Cosmetic And Plastic Surgery",14 Years Experience Overall  (10 years as specialist),Dermatologist,"New Friends Colony, Delhi",96% ,(846 votes),₹2000
112,Dr. Syed Nazim Hussain,"MD - Physician, DNB - Dermatology & Venereology, Diploma in Dermatology",17 Years Experience Overall  (11 years as specialist),Dermatologist,"Saket, Delhi",87% ,(94 votes),₹1200
113,Dr. Suraj Shetty,"MBBS, DDVL",13 Years Experience Overall  (7 years as specialist),Dermatologist,"Andheri West, Mumbai",98% ,(121 votes),₹900
114,Dr. Bhushan S  Bawankar,"MBBS, DVD",12 Years Experience Overall  (6 years as specialist),Dermatologist,"Matunga West, Mumbai",97% ,(142 votes),₹1000
115,Dr. Sanjana Shivashankar,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (8 years as specialist),Dermatologist,"Indiranagar, Bangalore",95% ,(87 votes),₹650
116,Dr. Nipun Jain,"MD - Dermatology , Venereology & Leprosy, MBBS",25 Years Experience Overall  (20 years as specialist),Dermatologist,"Dwarka, Delhi",98% ,(634 votes),₹700
117,Dr. Shilpa Reddy Gill,"MD - Dermatology , Venereology & Leprosy, MBBS",12 Years Experience Overall  (8 years as specialist),Dermatologist,"Jubilee Hills, Hyderabad",0,0,₹2000
118,Dr. Shaik Noor Fazal,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall  (1 year as specialist),Dermatologist,"Gachibowli, Hyderabad",0,0,₹600
119,Dr. Priyam Bhagat,"MD - Skin & VD, Diploma in Dermatology, MBBS",16 Years Experience Overall,Dermatologist,"Goregaon East, Mumbai",98% ,(447 votes),₹1200
120,Dr. Uma Chakravadhanula,"MBBS, DDVL",28 Years Experience Overall  (11 years as specialist),Dermatologist,"Madhapur, Hyderabad",98% ,(87 votes),₹700
121,Dr. Shivashankar B. Sajjanshetty,"MBBS, DDVL",18 Years Experience Overall  (13 years as specialist),Dermatologist,"JP Nagar 2 Phase, Bangalore",97% ,(2246 votes),₹750
122,Dr. Akshaya.S,"MBBS, MD - Dermatology , Venereology & Leprosy",Cosmetologist,Dermatologist,"Alwarpet, Chennai",0,0,₹500
123,Dr. Smriti Naswa Singh,"MD - Dermatology, MBBS",13 Years Experience Overall  (9 years as specialist),Dermatologist,"Mulund West, Mumbai",0,0,₹1500
124,Dr. Nandhini Palani,"MD - Dermatology , Venereology & Leprosy, MBBS",4 Years Experience Overall,Dermatologist,"Tambaram West, Chennai",0,0,₹300
125,Dr. Divya Gupta,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (8 years as specialist),Dermatologist,"Old Airport Road, Bangalore",0,0,₹900
126,Dr. Shruthi M K,"MBBS, DDVL",13 Years Experience Overall  (7 years as specialist),Dermatologist,"Jayanagar 5 Block, Bangalore",98% ,(86 votes),₹600
127,Dr. Yuti Nakhwa,"MBBS, MD - Dermatology , Venereology & Leprosy",15 Years Experience Overall  (11 years as specialist),Dermatologist,"Parel, Mumbai",96% ,(347 votes),₹1600
128,Dr. Jangid,"MD - Dermatology , Venereology & Leprosy, MBBS",15 Years Experience Overall  (9 years as specialist),Dermatologist,"Saket, Delhi",94% ,(1083 votes),₹1200
129,Dr. Nivethitha S,"MBBS, DDVL",6 Years Experience Overall  (4 years as specialist),Dermatologist,"Alwarpet, Chennai",99% ,(77 votes),₹600
130,Dr. Sadhana Deshmukh,"MBBS, DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy",19 Years Experience Overall  (16 years as specialist),Dermatologist,"Bandra West, Mumbai",97% ,(512 votes),₹1500
131,Dr. Rupal Phate,"MBBS, DVD",16 Years Experience Overall  (14 years as specialist),Dermatologist,"Kalyani Nagar, Pune",100% ,(28 votes),₹600
132,Dr. B. Lakshmi Divya,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (7 years as specialist),Dermatologist,"Kondapur, Hyderabad",97% ,(65 votes),₹700
133,Dr. Ganesh Avhad,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (10 years as specialist),Dermatologist,"Sion, Mumbai",99% ,(100 votes),₹800
134,Dr. Aarthi Lakshmanan,"MBBS, MD - Dermatology , Venereology & Leprosy",19 Years Experience Overall  (14 years as specialist),Dermatologist,"MRC Nagar, Chennai",93% ,(1362 votes),₹750
135,Dr. Poonam Naphade,"MBBS, DVD",19 Years Experience Overall  (10 years as specialist),Dermatologist,"Pimple Saudagar, Pune",100% ,(20 votes),₹1000
136,Dr. Ganga Ravikumar,"MBBS, MD - Dermatology , Venereology & Leprosy",32 Years Experience Overall  (31 years as specialist),Dermatologist,"Adyar, Chennai",96% ,(593 votes),₹700
137,Dr. Bindu Sthalekar,"MD - Skin Diseases, DVD, MBBS",34 Years Experience Overall,Dermatologist,"Khar West, Mumbai",96% ,(224 votes),₹3000
138,Dr. Keerti Verma,"MBBS, MD - Dermatology , Venereology & Leprosy, Diploma in Dermatology",11 Years Experience Overall,Dermatologist,"Pimple Saudagar, Pune",0,0,₹500
139,Dr. S Divya,"MBBS, DDVL",10 Years Experience Overall  (3 years as specialist),Dermatologist,"KPHB, Hyderabad",98% ,(101 votes),₹600
140,Dr. Priyal Gala,"MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, MBBS",13 Years Experience Overall  (6 years as specialist),Dermatologist,"Matunga, Mumbai",100% ,(65 votes),₹1200
141,Dr. Col Rajagopal A,"MBBS, MD - Dermatology and Venerology, DVD",60 Years Experience Overall  (48 years as specialist),Dermatologist,"Greams Road, Chennai",0,0,₹1000
142,Dr. Ch Vijay Bhasker Reddy,"MD - Dermatology , Venereology & Leprosy, MBBS",12 Years Experience Overall  (7 years as specialist),Dermatologist,"LB Nagar, Hyderabad",95% ,(22 votes),₹750
143,Dr. Deepthi Motiram,"MBBS, DDVL",14 Years Experience Overall  (10 years as specialist),Dermatologist,"Velachery, Chennai",93% ,(54 votes),₹600
144,Dr. Mukesh Manjhi,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (10 years as specialist),Dermatologist,"Lajpat Nagar, Delhi",0,0,₹500
145,Dr. Midhuna PV,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall  (1 year as specialist),Dermatologist,"Whitefield, Bangalore",0,0,₹600
146,Dr. Deepali Titkare,"DVD, MBBS",24 Years Experience Overall  (21 years as specialist),Dermatologist,"Magarpatta City, Pune",0,0,₹500
147,Dr. R. Sreekala,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (1 year as specialist),Dermatologist,"Secunderabad, Hyderabad",0,0,₹500
148,Dr. Neha Gupta,"MBBS, MD - Dermatology , Venereology & Leprosy",21 Years Experience Overall  (9 years as specialist),Dermatologist,"Indiranagar, Bangalore",95% ,(37 votes),₹800
149,Dr. Seema Srinivasa,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (9 years as specialist),Dermatologist,"Rajarajeshwarinagar, Bangalore",98% ,(131 votes),₹600
150,Dr. Alisha Aneja,"MBBS, MD - Dermatology , Venereology & Leprosy",9 Years Experience Overall  (6 years as specialist),Dermatologist,"Rohini, Delhi",0,0,₹800
151,Dr. Nagaraju D,"MD - Dermatology , Venereology & Leprosy, MBBS",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Kukatpally, Hyderabad",96% ,(28 votes),₹500
152,Dr. Shubhangi Mahajan,"MBBS, DDVL",12 Years Experience Overall  (7 years as specialist),Dermatologist,"Parel, Mumbai",100% ,(84 votes),₹800
153,Dr. Ayiswarya Marreddy,"MBBS, DDVL",7 Years Experience Overall  (4 years as specialist),Dermatologist,"Kondapur, Hyderabad",100% ,(35 votes),₹500
