,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
54,Ms. Janhavi Akkalkotkar,Post Graduate Diploma in Sports Nutrition,16 Years Experience Overall,Dietitian,"Sadashiv Peth, Pune",95% ,(20 votes),₹1000
55,Ms. Anuja Dani,MSc - Nutrition and Dietetics,4 Years Experience Overall,Dietitian,"Pimpri-Chinchwad, Pune",0,0,₹700
56,Dr. Pankaj Kumar,"MBBS, DNB - Family Medicine, DNHE",15 Years Experience Overall  (2 years as specialist),Dietitian,"Janakpuri, Delhi",96% ,(216 votes),₹650
57,Ms. Bipasha Das,MSc - Dietitics / Nutrition,14 Years Experience Overall,Dietitian,"CR Park, Delhi",99% ,(69 votes),₹1400
58,Ms. Shweta,"Diploma in Nutrition and Health Education, Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",14 Years Experience Overall  (13 years as specialist),Dietitian,"Punjabi Bagh, Delhi",99% ,(1561 votes),₹1500
59,Dr. Sugeeta Mutreja,"BAMS, DNHE",22 Years Experience Overall  (7 years as specialist),Dietitian,"Dwarka, Delhi",99% ,(282 votes),₹1000
60,Dr. Praveen Rustagi,"BAMS, DNHE",26 Years Experience Overall  (9 years as specialist),Dietitian,"Malviya Nagar, Delhi",96% ,(107 votes),₹500
61,Ms. Neha Agarwal,M.Sc. - Home Science (Food & Nutrition),19 Years Experience Overall  (18 years as specialist),Dietitian,"Subhash Nagar, Delhi",96% ,(236 votes),₹500
62,Dr. Anjana Kalia,"BAMS, Fellowship in Applied Nutrition(FAN)",21 Years Experience Overall  (5 years as specialist),Dietitian,"Dwarka, Delhi",99% ,(141 votes),₹1000
63,Ms. Padma Singh,M.Sc. - Food and Nutrition,18 Years Experience Overall,Dietitian,"Rohini, Delhi",95% ,(93 votes),₹300
64,Mr. Himanshu Rai,MSc. - Nutrition Sciences,15 Years Experience Overall,Dietitian,"Defence Colony, Delhi",99% ,(141 votes),₹800
65,Ms. Raminder Kaur Deshmukh,Diploma in Dietetics & Public Health Nutrition (DDPHN),31 Years Experience Overall  (30 years as specialist),Dietitian,"Rajouri Garden, Delhi",99% ,(486 votes),₹3500
66,Ms. Rashmi Srivastava,M.Sc. - Home Science (Food & Nutrition),48 Years Experience Overall  (47 years as specialist),Dietitian,"Malviya Nagar, Delhi",100% ,(19 votes),₹1000
67,Ms. Rashima Chhabra,MSc - Food Science and Nutrition,13 Years Experience Overall,Dietitian,"Rohini Sector 7, Delhi",97% ,(64 votes),₹800
68,Ms. Sharvi Rastogi,M.Sc. - Home Science (Food & Nutrition),11 Years Experience Overall  (10 years as specialist),Dietitian,"Greater Kailash Part 1, Delhi",100% ,(27 votes),₹1500
69,Ms. Dietician Nisha Malhotra,Diploma in Dietetics & Public Health Nutrition (DDPHN),39 Years Experience Overall  (37 years as specialist),Dietitian,"Rohini, Delhi",82% ,(33 votes),₹2500
70,Ms. Avni Kaul,"BSc - Dietitics / Nutrition, M.Sc. - Food and Nutrition",10 Years Experience Overall,Dietitian,"Saket, Delhi",97% ,(39 votes),₹4000
71,Ms. Nidhi Sawhney,PGD in Nutrition and Dietetics,5 Years Experience Overall,Dietitian,"Gulmohar Park, Delhi",99% ,(808 votes),₹1500
72,Ms. Priyanka Jaiswal,"MSc - Nutrition and Dietetics, BSc. - Home Science",11 Years Experience Overall  (6 years as specialist),Dietitian,"Maharani Bagh, Delhi",96% ,(114 votes),₹450
73,Ms. Neeru Dawra,Diploma in Diet and Nutrition,6 Years Experience Overall,Dietitian,"Rohini Sector 11, Delhi",88% ,(17 votes),₹300
74,Ms. Dt Priya Mittal,"Diploma in Dietetics, Health and Nutrition (DDHN)",5 Years Experience Overall,Dietitian,"Greater Kailash Part 1, Delhi",97% ,(74 votes),₹1000
75,Ms. Monisha Ashokan,DNHE,8 Years Experience Overall  (7 years as specialist),Dietitian,"Greater Kailash, Delhi",97% ,(62 votes),₹2000
76,Ms. Ekta-Jain,BSc - Dietitics / Nutrition,16 Years Experience Overall,Dietitian,"Vigyan Vihar, Delhi",98% ,(422 votes),₹1000
77,Ms. Ritu Arora,"Diploma in Diet and Nutrition, BSc - Dietitics / Nutrition",6 Years Experience Overall  (4 years as specialist),Dietitian,"Paschim Vihar, Delhi",100% ,(11 votes),₹1000
78,Ms. Nupur Jain,M.Sc. - Food and Nutrition,5 Years Experience Overall  (4 years as specialist),Dietitian,"Rana Pratap Bagh, Delhi",0,0,₹850
79,Ms. Sweety Bhatt,MSc - Nutrition and Dietetics,5 Years Experience Overall,Dietitian,"Old Rajendra Nagar, Delhi",0,0,₹1000
80,Ms. Dt. Shilpa Chawla,"MSc - Dietitics / Nutrition, BSc. - Home Science",20 Years Experience Overall  (9 years as specialist),Dietitian,"Pitampura, Delhi",99% ,(227 votes),₹1000
81,Ms. Pallavi Larecha,Post Graduation Diploma in Dietetics and Public Health Nutrition,12 Years Experience Overall,Dietitian,"Shalimar Bagh, Delhi",92% ,(37 votes),₹450
82,Ms. Shilpa Thakur,"MSc - Food and Applied Nutrition, Diploma in Diet and Nutrition",26 Years Experience Overall,Dietitian,"Greater Kailash Part 1, Delhi",0,0,₹500
83,Ms. Mansi Nigam,MSc - Nutrition and Dietetics,4 Years Experience Overall,Dietitian,"Saket, Delhi",95% ,(43 votes),₹500
84,Ms. Monica Kapur,Certificate in Food and Nutrition,10 Years Experience Overall,Dietitian,"Pitampura, Delhi",100% ,(42 votes),₹1000
85,Ms. Umang Behl,Post Graduation Diploma in Dietetics and Public Health Nutrition,7 Years Experience Overall  (6 years as specialist),Dietitian,"Shalimar Bagh, Delhi",97% ,(67 votes),₹450
86,Dr. Shalini Singhal   (PhD),"PhD - Clinical Nutrition, MSc - Dietitics / Nutrition",26 Years Experience Overall,Dietitian,"Dwarka Sector 12, Delhi",97% ,(303 votes),₹1600
87,Ms. Monika Arora,Post Graduate Diploma in Applied Nutrition and Dietetics,19 Years Experience Overall  (18 years as specialist),Dietitian,"Karkardooma, Delhi",100% ,(12 votes),₹700
88,Ms. Diksha Gulati,"DNHE, Diploma in Dietetics, Health and Nutrition (DDHN), Post Graduation Diploma in Dietetics and Public Health Nutrition",7 Years Experience Overall,Dietitian,"Gujranwala Town, Delhi",100% ,(24 votes),₹500
89,Ms. Khushboo Sharma,M.Sc. - Home Science (Food & Nutrition),6 Years Experience Overall  (5 years as specialist),Dietitian,"Subhash Nagar, Delhi",0,0,₹2000
90,Ms. Swarn Shikha Sharma,Post Graduation Diploma in Dietetics,16 Years Experience Overall,Dietitian,"Greater Kailash Part 1, Delhi",0,0,₹300
91,Ms. Sakshi Kohli,BSc - Dietitics / Nutrition,12 Years Experience Overall  (11 years as specialist),Dietitian,"Paschim Vihar, Delhi",97% ,(33 votes),₹1500
92,Ms. Divya Narang,Diploma in Dietetics & Public Health Nutrition (DDPHN),16 Years Experience Overall  (14 years as specialist),Dietitian,"Vikas Puri, Delhi",94% ,(16 votes),₹700
93,Ms. Divya Gandhi,Diploma in Nutrition and Health Education,8 Years Experience Overall,Dietitian,"Ashok Vihar, Delhi",96% ,(2130 votes),₹1000
94,Ms. Somya Jain,M.Sc. - Home Science (Food & Nutrition),7 Years Experience Overall,Dietitian,"Shalimar Bagh, Delhi",0,0,₹300
95,Ms. Swati Srivastava,"Diploma in Dietetics & Weight Management, PG Diploma in Preventive & Applied Nutrition",14 Years Experience Overall  (2 years as specialist),Dietitian,"Lajpat Nagar 4, Delhi",0,0,₹1000
96,Ms. Shalu Ahuja,"Diploma in Dietetics, Health and Nutrition (DDHN)",6 Years Experience Overall  (5 years as specialist),Dietitian,"Shalimar Bagh, Delhi",100% ,(91 votes),₹1000
97,Ms. Priya Arya,MSc. - Dietetics & Food Service Management,4 Years Experience Overall,Dietitian,"Chattarpur, Delhi",0,0,₹800
98,Ms. Gomathy Gowthaman,BSc. - Nutrition Food Service Management and Dietetics,33 Years Experience Overall,Dietitian,"Anna Nagar East, Chennai",92% ,(455 votes),₹750
99,Ms. Sangeetha Jayakumar,MPhil. - Food Service Management and Dietetics,12 Years Experience Overall,Dietitian,"Nanganallur, Chennai",100% ,(21 votes),₹600
100,Dr. Anju Soni   (PhD),"PhD - Psychology, Post Graduate Diploma in Psychological Counseling, Fellowship in Applied Nutrition(FAN)",9 Years Experience Overall  (5 years as specialist),Dietitian,"Choolai, Chennai",100% ,(71 votes),₹1300
101,Ms. Jayavani.J,"MSc. - Dietetics & Food Service Management, BSc. - Nutrition Food Service Management and Dietetics",25 Years Experience Overall,Dietitian,"Anna Nagar, Chennai",0,0,₹700
102,Ms. Shail Yadav,M.Sc. - Home Science (Food & Nutrition),14 Years Experience Overall  (12 years as specialist),Dietitian,"OMR Road, Chennai",0,0,₹1000
103,Ms. V.Geetha,MSc. - Food Service Management & Dietetics,16 Years Experience Overall,Dietitian,"Medavakkam, Chennai",0,0,₹1000
104,Ms. Roshni S.V,"B.Sc.- Clinical Nutrition & Dietetics, M.Sc - Clinical Nutrition",7 Years Experience Overall  (5 years as specialist),Dietitian,"Ashok Nagar, Chennai",96% ,(23 votes),₹500
105,Ms. Muthulakshmi,Diploma in Clinical Nutrition,18 Years Experience Overall  (17 years as specialist),Dietitian,"KK Nagar, Chennai",91% ,(11 votes),₹2000
106,Dr. Reena Jain   (PhD),"PhD - Yoga, Post Graduate Diploma in Clinical Nutrition & Dietetics",7 Years Experience Overall  (2 years as specialist),Dietitian,"Purasawakkam, Chennai",0,0,₹800
107,Ms. Geetanjali,"Post Graduate Diploma in Dietetics and Hospital Food Service, MSc. - Dietetics & Food Service Management, BSc. - Home Science (Applied Nutrition)",18 Years Experience Overall,Dietitian,"Bandra West, Mumbai",99% ,(70 votes),₹1500
108,Dr. Asmita Sawe,"BHMS, Post Graduation Diploma in Dietetics and Public Health Nutrition",15 Years Experience Overall  (11 years as specialist),Dietitian,"Vileparle East, Mumbai",97% ,(191 votes),₹1500
109,Ms. Geeta Shenoy,"BSc - Dietitics / Nutrition, Post Graduation Diploma in Dietetics",32 Years Experience Overall,Dietitian,"Chembur East, Mumbai",98% ,(253 votes),₹2000
110,Ms. Smita Nanda R D,PGD ND,16 Years Experience Overall,Dietitian,"Kandivali East, Mumbai",97% ,(299 votes),₹1200
111,Ms. Hetal Dharod,M.Sc. - Home Science (Food & Nutrition),22 Years Experience Overall  (21 years as specialist),Dietitian,"Kandivali West, Mumbai",94% ,(31 votes),₹1000
112,Ms. Himani Mittal,BSc - Applied Nutrition,19 Years Experience Overall,Dietitian,"Andheri West, Mumbai",100% ,(30 votes),₹1200
113,Ms. Aarti,BSc. - Home Science (Dietetics),9 Years Experience Overall  (8 years as specialist),Dietitian,"Andheri East, Mumbai",91% ,(152 votes),₹500
114,Ms. Jennifer Dhuri,PG Diploma in Dietitics and Hospital Food Service,24 Years Experience Overall  (23 years as specialist),Dietitian,"Powai, Mumbai",98% ,(54 votes),₹2500
115,Ms. Twinkle Haria,Post Graduate Diploma in Clinical Nutrition & Dietetics,12 Years Experience Overall,Dietitian,"Mulund West, Mumbai",99% ,(87 votes),₹1800
116,Ms. Nikita Lawande,Post Graduate Diploma in Applied Nutrition and Dietetics,Dietitian/Nutritionist,Dietitian,"Powai, Mumbai",0,0,₹350
117,Ms. Mukta Tolani,"Diploma in Dietetics, Health and Nutrition (DDHN)",8 Years Experience Overall,Dietitian,"Kandivali West, Mumbai",96% ,(28 votes),₹1000
118,Ms. Sajida Shaikh,Diploma in Diet and Nutrition,4 Years Experience Overall,Dietitian,"Mira Road, Mumbai",98% ,(91 votes),₹1000
119,Ms. Sofia Ansari,"M.Sc. - Home Science (Clinical Nutrition and Dietetics), B.Sc. - Home Science (Food & Nutrition)",5 Years Experience Overall,Dietitian,"Cuffe Parade, Mumbai",0,0,₹350
120,Dr. Pratibha Singhal,"BHMS, Diploma in Diet and Nutrition",17 Years Experience Overall,Dietitian,"Kandivali East, Mumbai",99% ,(84 votes),₹800
121,Ms. Nisha Singh,"BSc - Dietitics / Nutrition, Post Graduate Diploma in Sports Nutrition",22 Years Experience Overall,Dietitian,"Powai, Mumbai",99% ,(77 votes),₹1200
122,Ms. Bina Bhavanji Chheda,Diploma in Diet and Nutrition,27 Years Experience Overall  (15 years as specialist),Dietitian,"Borivali West, Mumbai",97% ,(112 votes),₹2000
123,Ms. Mitalee Doshi,Post Graduate In Food Science And Nutrition,14 Years Experience Overall,Dietitian,"Mulund West, Mumbai",98% ,(95 votes),₹800
124,Ms. Ushma Haria,"Post Graduation Diploma in Dietetics, Masters in Dietetics and Food Service Management",13 Years Experience Overall,Dietitian,"Chembur East, Mumbai",0,0,₹500
125,Ms. Khusboo Maheshwari,MSc - Clinical Nutrition and Dietetics,8 Years Experience Overall  (6 years as specialist),Dietitian,"Mira Bhayandar, Mumbai",99% ,(102 votes),₹1000
126,Ms. Neha Ranglani,B.Sc. - Home Science (Food & Nutrition),13 Years Experience Overall,Dietitian,"Bandra West, Mumbai",96% ,(219 votes),₹2500
127,Ms. Apeksha Thakkar,Post Graduate Diploma in Sports Nutrition,16 Years Experience Overall,Dietitian,"Mulund West, Mumbai",100% ,(11 votes),₹1500
128,Ms. Meghna Parekh Sheth,Post Graduation Diploma in Dietetics,25 Years Experience Overall  (24 years as specialist),Dietitian,"Kandivali West, Mumbai",95% ,(124 votes),₹500
129,Dr. Zubeda Tumbi   (PhD),"Ph.D - Home Science (Food Science and Nutrition), M.Sc. - Home Science (Food & Nutrition)",33 Years Experience Overall,Dietitian,"Andheri West, Mumbai",96% ,(1006 votes),₹1000
130,Ms. Ritu Agarwal,BSc. - Home Science (Applied Nutrition),19 Years Experience Overall  (17 years as specialist),Dietitian,"Andheri West, Mumbai",100% ,(17 votes),0
131,Ms. Sharmila Vyas,BSc. - Home Science (Food Science and Nutrition),12 Years Experience Overall,Dietitian,"Girgaon, Mumbai",100% ,(31 votes),₹500
132,Ms. Richa Doshi,"BSc. - Home Science (Applied Nutrition), Post Graduate Diploma in Clinical Nutrition & Dietetics",12 Years Experience Overall  (11 years as specialist),Dietitian,"Kandivali West, Mumbai",98% ,(165 votes),₹800
133,Ms. Ankita Shah,Post Graduate Diploma in Applied Nutrition and Dietetics,17 Years Experience Overall,Dietitian,"Lower Parel, Mumbai",100% ,(17 votes),₹1200
134,Ms. Rajni Chetan,MSc. - Dietetics & Food Service Management,45 Years Experience Overall  (2 years as specialist),Dietitian,"Borivali West, Mumbai",0,0,₹750
135,Ms. Dt Ruchita Maheshwari,Post Graduate In Food Science And Nutrition,9 Years Experience Overall  (8 years as specialist),Dietitian,"Andheri East, Mumbai",93% ,(30 votes),₹700
136,Ms. Shweta Uchil,Post Graduation Diploma in Dietetics,23 Years Experience Overall  (22 years as specialist),Dietitian,"Kandivali West, Mumbai",93% ,(15 votes),0
137,Ms. Kamna Bhandari,"Post Graduation Diploma in Dietetics, B.Sc. - Home Science (Food & Nutrition)",24 Years Experience Overall  (23 years as specialist),Dietitian,"Khar West, Mumbai",99% ,(157 votes),₹2200
138,Ms. Kanchan Patwardhan,MSc - Dietitics / Nutrition,25 Years Experience Overall  (24 years as specialist),Dietitian,"Kurla East, Mumbai",98% ,(162 votes),₹2000
139,Ms. Richa Anand,Post Graduate Diploma in Applied Nutrition and Dietetics,22 Years Experience Overall,Dietitian,"Powai, Mumbai",0,0,₹900
140,Ms. Urvi Vakharia,Diploma in Diet and Nutrition,17 Years Experience Overall  (16 years as specialist),Dietitian,"Mulund West, Mumbai",99% ,(308 votes),₹250
141,Ms. Malika Kabra Rathi,MSc - Clinical Nutrition and Dietetics,15 Years Experience Overall,Dietitian,"Lokhandwala, Mumbai",99% ,(82 votes),₹3000
142,Ms. Bhumika Khushalani,"Post Graduate Diploma in Clinical Nutrition & Dietetics, BSc. - Home Science (Dietetics)",15 Years Experience Overall,Dietitian,"Chembur East, Mumbai",100% ,(40 votes),₹1500
143,Ms. Pallavi Srivastava,P.G in Sports Science Fitness & Nutrition,13 Years Experience Overall  (12 years as specialist),Dietitian,"Andheri West, Mumbai",0,0,₹1500
144,Ms. Pushpa Ladsariya,BSc - Dietitics / Nutrition,17 Years Experience Overall  (3 years as specialist),Dietitian,"Worli, Mumbai",99% ,(161 votes),₹1500
145,Ms. Gurpreet Kaur Chhabra,"PG Diploma in Dietitics and Hospital Food Service, BSc. - Home Science",21 Years Experience Overall,Dietitian,"Kandivali East, Mumbai",100% ,(22 votes),₹1000
146,Ms. Venu Adhiya Hirani,"BSc. - Home Science (Food Science and Nutrition), P.G Diploma in Sports Science & Nutrition",28 Years Experience Overall  (26 years as specialist),Dietitian,"Andheri West, Mumbai",0,0,₹1000
147,Ms. Deepa Nandy,Post Graduate Diploma in Sports Nutrition,15 Years Experience Overall,Dietitian,"Andheri West, Mumbai",100% ,(290 votes),₹2500
148,Ms. Khushboo Jain Tibrewala,"P.G in Sports Science Fitness & Nutrition, BSc. - Home Science (Applied Nutrition)",13 Years Experience Overall,Dietitian,"Juhu, Mumbai",96% ,(23 votes),₹2500
149,Ms. Pradnya Padhye,"M.Sc. - Home Science (Food & Nutrition), B.Sc. - Home Science (Food & Nutrition)",21 Years Experience Overall,Dietitian,"Powai, Mumbai",100% ,(203 votes),₹1500
150,Ms. Mansi Padechia,Post Graduate In Food Science And Nutrition,12 Years Experience Overall  (11 years as specialist),Dietitian,"Tardeo, Mumbai",100% ,(228 votes),₹2000
151,Dr. Dr Pooja Sharma   (PhD),"PhD - Gastro & Human Nutrition Unit, M.Sc. - Home Science (Food & Nutrition)",18 Years Experience Overall,Dietitian,"Powai, Mumbai",97% ,(36 votes),₹1500
152,Ms. Radhika Gawade,BSc. - Home Science (Dietetics),19 Years Experience Overall  (17 years as specialist),Dietitian,"Bandra, Mumbai",0,0,0
153,Ms. Chaitali Shah,"B.Sc. - Home Science (Food & Nutrition), Diploma In Naturopathy (ND)",25 Years Experience Overall  (24 years as specialist),Dietitian,"Borivali West, Mumbai",0,0,₹600
154,Ms. Sonal Bhosale,B.Sc. - Home Science (Food & Nutrition),15 Years Experience Overall  (10 years as specialist),Dietitian,"Kandivali West, Mumbai",0,0,0
