,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
28,Dr. Ramraj V N,"MBBS, DNB - General Surgery, Fellow of American College of Surgeons(FACS)",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Richmond Town, Bangalore",0,0,₹600
29,Dr. G. H. Raju,"MBBS, MS - General Surgery",24 Years Experience Overall,Ophthalmologist,"Bannerghatta Road, Bangalore",88% ,(17 votes),₹850
30,Dr. Kumar S S,"MS - General Surgery, MBBS",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"HBR Layout, Bangalore",0,0,₹600
31,Dr. Manohar S,"MBBS, DNB - General Surgery",13 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Vasanthnagar, Bangalore",0,0,₹400
32,Dr. Girish Bapat,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI), FRCS - General Surgery",29 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Kothrud, Pune",95% ,(420 votes),₹1000
33,Dr. Abhijit A Whatkar,"MBBS, DNB - General Surgery, FCPS - General Surgery",14 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Kharadi, Pune",99% ,(118 votes),₹700
34,Dr. Mustafa  Shakir,"MBBS, DNB - General Surgery, MRCS (UK), FICS",22 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Undri, Pune",100% ,(65 votes),₹500
35,Dr. Pushparaj S. Karmarkar,"MBBS, MS - General Surgery",38 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Kothrud, Pune",97% ,(193 votes),₹700
36,Dr. Narendra Chopde,"MBBS, MS - General Surgery",13 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Kharadi, Pune",0,0,₹700
37,Dr. Jayashree Todkar,"MBBS, MS - General Surgery",30 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Dhole Patil Road, Pune",95% ,(111 votes),₹1000
38,Dr. Shashank Shah,"MBBS, MS - General Surgery",33 Years Experience Overall  (29 years as specialist),Ophthalmologist,"Sadashiv Peth, Pune",95% ,(44 votes),₹1500
39,Dr. Sudhir A Jadhav,"MBBS, MS - General Surgery",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Kharadi, Pune",100% ,(191 votes),₹650
40,Dr. Neeraj Rayate,"MS - General Surgery, MBBS, DNB - General Surgery",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Shivajinagar, Pune",99% ,(335 votes),₹300
41,Dr. Chetan N. Mhaske,"MBBS, MS - General Surgery",20 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Hadapsar, Pune",97% ,(60 votes),₹500
42,Dr. Shrikant Kurhade,"MBBS, MS - General Surgery",14 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Alandi Devachi, Pune",100% ,(120 votes),₹350
43,Dr. Kedar Pratap Patil,"DNB - General Surgery, MBBS",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Sadashiv Peth, Pune",100% ,(19 votes),₹500
44,Dr. Ashish Kumar Shrivastav,"MBBS, DNB - General Surgery",22 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Shivajinagar, Pune",100% ,(12 votes),₹500
45,Dr. Satish Pattanshetti,"MBBS, MS - General Surgery",20 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Bavdhan, Pune",99% ,(200 votes),₹900
46,Dr. S P SIngh,"DNB - General Surgery, MBBS, FCPS - General Surgery",18 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Koregaon Park, Pune",82% ,(17 votes),₹500
47,Dr. Swati Inamdar,"MBBS, MS - General Surgery, DNB - General Surgery",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Warje, Pune",100% ,(29 votes),₹250
48,Dr. Sushil Deshmukh,"MBBS, MS - General Surgery",14 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Viman Nagar, Pune",94% ,(78 votes),₹500
49,Dr. Nikunj Bansal,"MBBS, MS - General Surgery",21 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹499
50,Dr. Deep Goel,"MBBS, DNB - General Surgery",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1500
51,Dr. Ashish Pitale,"MBBS, MS - General Surgery, FRCS - General Surgery",31 Years Experience Overall  (28 years as specialist),Ophthalmologist,"Dwarka, Delhi",97% ,(68 votes),₹700
52,Dr. Sumeet Shah,"MBBS, MS - General Surgery, DNB - General Surgery",28 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Greater Kailash Part 1, Delhi",0,0,₹1200
53,Dr. Ashish Sachan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Dilshad Garden, Delhi",100% ,(67 votes),₹800
54,Dr. Randeep Wadhawan,"MBBS, MS - General Surgery",33 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",0,0,₹1100
55,Dr. Saurabh Bansal,"MBBS, DNB - General Surgery",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Green Park, Delhi",100% ,(34 votes),₹1000
56,Dr. Ravindra Vats,"MBBS, MS - General Surgery",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1500
57,Dr. Shailender Kumar Jain,"MBBS, MS - General Surgery",27 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Dwarka, Delhi",83% ,(47 votes),₹500
58,Dr. Sandeep Jain,"MBBS, DNB - General Surgery",20 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Patparganj, Delhi",92% ,(12 votes),₹800
59,Dr. Pradeep K Dewan,"MBBS, MS - General Surgery",42 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹800
60,Dr. Naveen Kumar Verma,"MBBS, MS - General Surgery",7 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",0,0,₹1100
61,Dr. Arun Bhardwaj,"MBBS, MS - General Surgery, DNB - General Surgery, MRCS (UK)",13 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",100% ,(13 votes),₹1100
62,Dr. Suresh Kumar Abrol,"MBBS, MS - General Surgery",42 Years Experience Overall,Ophthalmologist,"Punjabi Bagh, Delhi",0,0,₹1000
63,Dr. Bhoopendra Prasad,"MBBS, MS - General Surgery",20 Years Experience Overall,Ophthalmologist,"Vasant Kunj, Delhi",0,0,₹1000
64,Dr. Shailesh Gupta,"MBBS, MS - General Surgery",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹800
65,Dr. Jotinder Khanna,"MBBS, MS - General Surgery, FNB - Minimal Access Surgery",25 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Nehru Place, Delhi",100% ,(33 votes),₹1000
66,Dr. Amit Agarwal,"MBBS, MS - General Surgery, DNB - General Medicine",19 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Pusa Road, Delhi",100% ,(25 votes),₹1800
67,Dr. Arun Prasad,"MBBS, MS - General Surgery, FRCS - General Surgery, Fellow of American College of Surgeons(FACS)",38 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",100% ,(17 votes),₹1500
68,Dr. Pradeep Jain,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MCh - Surgical Oncology",36 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Shalimar Bagh, Delhi",85% ,(47 votes),₹1500
69,Dr. Mohit Jain,"MBBS, MS - General Surgery",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Pusa Road, Delhi",97% ,(39 votes),₹1800
70,Dr. Arush Sabharwal,"MBBS, MS - General Surgery",13 Years Experience Overall,Ophthalmologist,"Karol Bagh, Delhi",0,0,₹850
71,Dr. Sandip Banerjee,"MBBS, DNB - General Surgery, MNAMS - General Surgery",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Nehru Place, Delhi",0,0,₹1000
72,Dr. Amit Javed,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Punjabi Bagh, Delhi",99% ,(235 votes),₹1000
73,Dr. Aloy J Mukherjee,"MBBS, MS - General Surgery",25 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹1500
74,Dr. Muneendra Gupta,"MBBS, MS - General Surgery",46 Years Experience Overall  (41 years as specialist),Ophthalmologist,"Vasant Kunj, Delhi",85% ,(46 votes),₹1500
75,Dr. Amit Jain,"MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MBBS",18 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Patparganj, Delhi",89% ,(195 votes),₹800
76,Dr. Pankaj Sharma,"MBBS, MS - General Surgery",30 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Rohini, Delhi",97% ,(214 votes),₹1000
77,Dr. Harmeet Singh Kapoor,"MBBS, MS - General Surgery",34 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1800
78,Dr. Rekha Jaiswal,"MBBS, MS - General Surgery",29 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹1500
79,Dr. Sukhvinder Singh Saggu,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Punjabi Bagh, Delhi",91% ,(11 votes),₹1000
80,Dr. Vivek Bindal,"MBBS, DNB - General Surgery, MS - General Surgery, MRCS (UK), FNB - Minimal Access Surgery, MNAMS - General Surgery",13 Years Experience Overall,Ophthalmologist,"Patparganj, Delhi",0,0,₹1000
81,Dr. S S Bhagat,"MBBS, MS - General Surgery",39 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹600
82,Dr. Atul N.C. Peters,"MBBS, DNB - General Surgery",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Saket, Delhi",0,0,₹2000
83,Dr. Sushant Verma,"MBBS, MS - General Surgery, DNB - General Surgery",13 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Shalimar Bagh, Delhi",0,0,₹600
84,Dr. Ashutosh Jha,"MBBS, MS - General Surgery",30 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Patparganj, Delhi",0,0,₹400
85,Dr. Sanjay Verma,"MBBS, MS - General Surgery",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Okhla, Delhi",0,0,₹1500
86,Dr. Preethi Mrinalini K,"MBBS, MS - General Surgery",10 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Nungambakkam, Chennai",100% ,(33 votes),₹700
87,Dr. T.S.Chandrasekar,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Perungudi, Chennai",97% ,(60 votes),₹700
88,Dr. Prabudoss,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Velachery, Chennai",96% ,(410 votes),₹700
89,Dr. Raj Palaniappan,"MS - General Surgery, MBBS",25 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Greams Road, Chennai",97% ,(242 votes),₹2500
90,Dr. Carunya Mannan,"MBBS, MS - General Surgery",9 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹1000
91,Dr. Rajkumar Palaniappan,"MBBS, MS - General Surgery",25 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Greams Road, Chennai",0,0,₹1000
92,Dr. Perungo Thirumarai Chelvan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",18 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Chromepet, Chennai",82% ,(11 votes),₹800
93,Dr. Naveen Alexander,"MS - General Surgery, MBBS",16 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Kilpauk, Chennai",95% ,(22 votes),₹500
94,Dr. Yamini,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",22 Years Experience Overall  (21 years as specialist),Ophthalmologist,"T Nagar, Chennai",95% ,(102 votes),₹400
95,Dr. Prakash Hindurao Kurane,"MBBS, MS - General Surgery",8 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",0,0,₹999
96,Dr. Vishal Diddi,"MBBS, DNB - General Surgery, FCPS - General Surgery",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Andheri, Mumbai",100% ,(37 votes),₹700
97,Dr. Jayashree Todkar,"MBBS, MS - General Surgery",30 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Powai, Mumbai",95% ,(111 votes),₹1500
98,Dr. Manoj Gandhi,"DNB - General Surgery, MBBS",27 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Dadar, Mumbai",90% ,(21 votes),₹1500
99,Dr. Rais Ansari,"MS - General Surgery, MBBS",22 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Worli, Mumbai",98% ,(40 votes),₹3500
100,Dr. Sanjay Borude,"MS - General Surgery, MBBS",38 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Chembur, Mumbai",98% ,(102 votes),₹3000
101,Dr. Laxman Salve,"MBBS, MS - General Surgery",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Chembur, Mumbai",99% ,(168 votes),₹2000
102,Dr. Aparna Govil Bhasker,"MS - General Surgery, MBBS",16 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",94% ,(106 votes),₹1500
103,Dr. Ramen Goel,"MBBS, MS - General Surgery",36 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Chembur, Mumbai",96% ,(25 votes),₹1500
104,Dr. Manish Motwani,"MBBS, MS - General Surgery",26 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Mulund West, Mumbai",89% ,(18 votes),₹1000
105,Dr. Hemal Bhagat,"MBBS, DNB - General Surgery, Diploma in Laparoscopy",28 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Andheri West, Mumbai",98% ,(1153 votes),₹2000
106,Dr. Muffazal Lakdawala,"MBBS, MS - General Surgery",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Worli, Mumbai",97% ,(168 votes),₹4000
107,Dr. Brijesh Dube,"MBBS, MS - General Surgery",24 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Malad West, Mumbai",0,0,₹1000
108,Dr. E.Debaraju Reddy,"MBBS, DNB - General Surgery",21 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Nizampet, Hyderabad",99% ,(164 votes),₹300
109,Dr. Ananda Kumar,"MBBS, MS - General Surgery, FRCS (Edinburgh)",29 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Ameerpet, Hyderabad",98% ,(1072 votes),₹1200
110,Dr. T Varun Raju,"MBBS, DNB - General Surgery",27 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Erragadda, Hyderabad",93% ,(28 votes),₹300
111,Dr. C Raja Krishna Prasad,"MS - General Surgery, MBBS",30 Years Experience Overall,Ophthalmologist,"Hyderguda, Hyderabad",0,0,₹1000
112,Dr. Nandakishore Dukkipati,"MBBS, Diplomate of the American Board of Surgery (General Surgery)",28 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",100% ,(81 votes),₹850
113,Dr. P. Jayasimha Reddy,"MBBS, MS - General Surgery",24 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Vidyanagar, Hyderabad",100% ,(85 votes),₹500
114,Dr. Dipti Thakkar,"MBBS, DNB - General Surgery",16 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",96% ,(49 votes),₹500
115,Dr. G Suresh Chandra Hari,"MBBS, MS - General Surgery",36 Years Experience Overall,Ophthalmologist,"Lingampally, Hyderabad",89% ,(46 votes),₹800
116,Dr. Patwadi Ajay Kumar,"MS - General Surgery, MBBS",13 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Kondapur, Hyderabad",100% ,(25 votes),₹500
117,Dr. Pradeep Panigrahi,"MBBS, MS - General Surgery",24 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Karmanghat, Hyderabad",98% ,(43 votes),₹350
118,Dr. Ravula Phani Krishna,"MS - General Surgery, MRCS (UK), MCh - Surgical Gastroenterology/G.I. Surgery, MBBS, DNB - Gastroenterology",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Hitech City, Hyderabad",95% ,(441 votes),₹600
119,Dr. Y.Krishna Mohan,"MBBS, MS - General Surgery",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Banjara Hills, Hyderabad",0,0,₹500
120,Dr. Alok Rath,"MBBS, MS - General Surgery",22 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Banjara Hills, Hyderabad",0,0,₹500
121,Dr. Mahidhar Valeti,"MBBS, MS - General Surgery",35 Years Experience Overall  (29 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹900
122,Dr. Surendra Ugale,"MBBS, MS - General Surgery",38 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Basheerbagh, Hyderabad",100% ,(25 votes),₹1000
123,Dr. Amar Vennapusa,"MBBS, MS - General Surgery, MRCS (UK), DNB - General Surgery",23 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Jubilee Hills, Hyderabad",0,0,₹500
124,Dr. Prashant Philip Das,"MS - General Surgery, MBBS, FNB - Minimal Access Surgery",15 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Secunderabad, Hyderabad",0,0,₹500
125,Dr. Jayanth K Chowdary,"MBBS, MS - General Surgery, Diploma in Laparoscopy",19 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Madinaguda, Hyderabad",53% ,(30 votes),₹500
126,Dr. Pavan kumar,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",12 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Somajiguda, Hyderabad",0,0,₹600
127,Dr. V Pavan Kumar,"MBBS, DNB - Surgical Gastroenterology, MS - General Surgery",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Kondapur, Hyderabad",0,0,₹500
128,Dr. Abhishek Katakwar,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",13 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹500
129,Dr. Krishna Moorthy,"MBBS, MS - General Surgery, MCh - Plastic Surgery",9 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Gachibowli, Hyderabad",0,0,₹500
130,Dr. Jayasimha Nagella,"MBBS, DNB - General Surgery",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Kothapet, Hyderabad",0,0,₹250
