,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
13,Dr. Lokesh B,"MBBS, MD - General Medicine, DM - Neurology",25 Years Experience Overall  (18 years as specialist),Neurologist,"Hebbal, Bangalore",88% ,(24 votes),₹900
14,Dr. Anuradha H K,"MBBS, MD - General Medicine, DM - Neurology",21 Years Experience Overall  (12 years as specialist),Neurologist,"Hebbal, Bangalore",80% ,(40 votes),₹900
15,Dr. Guruprasad Hosurkar,"MBBS, MD - General Medicine, DNB - Neurology",18 Years Experience Overall,Neurologist,"Yeshwanthpur, Bangalore",88% ,(16 votes),₹950
16,Dr. Avinash K M,"MBBS, MS - General Surgery, MRCS (UK), MCh - Neuro Surgery",15 Years Experience Overall  (12 years as specialist),Neurologist,"Hebbal, Bangalore",91% ,(23 votes),₹1090
17,Dr. Akshay Hari,"DNB - Neurosurgery, MBBS",12 Years Experience Overall  (6 years as specialist),Neurologist,"Hebbal, Bangalore",98% ,(59 votes),₹900
18,Dr. Chandran Gnanamuthu,"MBBS, MD - General Medicine, DM - Neurology",47 Years Experience Overall  (36 years as specialist),Neurologist,"Bannerghatta Road, Bangalore",97% ,(59 votes),₹900
19,Dr. Nithin Kumar .N,"MBBS, MD - General Medicine, DM - Neurology",23 Years Experience Overall  (14 years as specialist),Neurologist,"Cunningham Road, Bangalore",94% ,(344 votes),₹700
20,Dr. Shobha. N,"MBBS, DNB - General Medicine, DM - Neurology",28 Years Experience Overall  (16 years as specialist),Neurologist,"Malleswaram, Bangalore",97% ,(545 votes),₹750
21,Dr. Rajesh K N,"MBBS, MD - General Medicine, DM - Neurology",20 Years Experience Overall,Neurologist,"Sampangiramnagar, Bangalore",96% ,(1226 votes),₹800
22,Dr. Ashok Kumar Singhal,"MBBS, MD - General Medicine, DM - Neurology",21 Years Experience Overall  (16 years as specialist),Neurologist,"Bannerghatta Road, Bangalore",94% ,(264 votes),₹900
23,Dr. P.C Mohan,"MBBS, Diploma in Child Health (DCH), DM - Neurology",26 Years Experience Overall  (24 years as specialist),Neurologist,"Kengeri, Bangalore",73% ,(15 votes),₹700
24,Dr. Manjunath M,"MD - General Medicine, DM - Neurology, MBBS",17 Years Experience Overall  (7 years as specialist),Neurologist,"Old Airport Road, Bangalore",100% ,(27 votes),₹900
25,Dr. Sanjiv C C,"MBBS, DM - Neurology",32 Years Experience Overall  (26 years as specialist),Neurologist,"Basavanagudi, Bangalore",77% ,(163 votes),₹670
26,Dr. Pramod Krishnan,"MBBS, MD - General Medicine, DM - Neurology",21 Years Experience Overall  (10 years as specialist),Neurologist,"Old Airport Road, Bangalore",94% ,(31 votes),₹900
27,Dr. Nikhil C Hiremath,"MBBS, MD - General Medicine, DM - Neurology",13 Years Experience Overall  (4 years as specialist),Neurologist,"Yeshwanthpur, Bangalore",93% ,(70 votes),₹500
28,Dr. B K Madhusudhan,"DM - Neurology, MBBS, MD - General Medicine",19 Years Experience Overall  (7 years as specialist),Neurologist,"Yeshwanthpur, Bangalore",90% ,(59 votes),₹700
29,Dr. Pramod M N,"MBBS, DM - Neurology",20 Years Experience Overall  (13 years as specialist),Neurologist,"Seshadripuram, Bangalore",99% ,(92 votes),₹740
30,Dr. Reginald Varadarajulu,"MBBS, DNB - Neurology, MD - General Medicine,  FRCP",38 Years Experience Overall  (26 years as specialist),Neurologist,"Kammana Halli, Bangalore",80% ,(30 votes),₹1300
31,Dr. Prashanth L K,"MBBS, DM - Neurology",21 Years Experience Overall  (14 years as specialist),Neurologist,"Millers Road, Bangalore",72% ,(29 votes),₹1450
32,Dr. Soniya Tambe,"MBBS, MD - Pediatrics, DM - Neurology",13 Years Experience Overall  (2 years as specialist),Neurologist,"Electronics City, Bangalore",100% ,(13 votes),₹700
33,Dr. Anil.R,"MBBS, MD - General Medicine, DM - Neurology",20 Years Experience Overall  (8 years as specialist),Neurologist,"Hebbal, Bangalore",0,0,₹800
34,Dr. Amit Kulkarni,"MBBS, MD - General Medicine, DM - Neurology",18 Years Experience Overall  (9 years as specialist),Neurologist,"Rajarajeshwarinagar, Bangalore",88% ,(33 votes),₹700
35,Dr. B.Nataraju,"MBBS, DM - Neurology",47 Years Experience Overall  (29 years as specialist),Neurologist,"Kundalahalli, Bangalore",74% ,(27 votes),₹950
36,Dr. Shakthi K J S,"MBBS, MD - General Medicine, DM - Neurology",9 Years Experience Overall  (3 years as specialist),Neurologist,"Yeshwanthpur, Bangalore",83% ,(12 votes),₹600
37,Dr. Srinivas Raju D,"MBBS, MD - General Medicine, DM - Neurology",13 Years Experience Overall  (5 years as specialist),Neurologist,"Hebbal, Bangalore",0,0,₹800
38,Dr. Deepa N A,"MBBS, DM - Neurology",18 Years Experience Overall  (4 years as specialist),Neurologist,"Yeshwanthpur, Bangalore",100% ,(30 votes),₹600
39,Dr. Saurabh Sadekar Gajanan,"MBBS, MD - General Medicine, DNB - Neurology",10 Years Experience Overall  (3 years as specialist),Neurologist,"Jayanagar 9 Block, Bangalore",0,0,₹750
40,Dr. Jagdish Chattnalli,"DNB - Neurosurgery, MBBS",22 Years Experience Overall  (16 years as specialist),Neurologist,"Ashoknagar, Bangalore",74% ,(19 votes),₹800
41,Dr. J B Agadi,"MBBS, MD - General Medicine, DM - Neurology",44 Years Experience Overall  (30 years as specialist),Neurologist,"Seshadripuram, Bangalore",77% ,(13 votes),₹740
42,Dr. Rajesh B. Iyer,"MD - General Medicine, DM - Neurology, MBBS",27 Years Experience Overall  (19 years as specialist),Neurologist,"Vasanthnagar, Bangalore",100% ,(27 votes),₹1000
43,Dr. S. Raghavendra,"MD - General Medicine, MBBS, DM - Neurology",24 Years Experience Overall  (22 years as specialist),Neurologist,"Vasanthnagar, Bangalore",98% ,(58 votes),₹1000
44,Dr. Preethish Kumar,"MBBS, MRCP (UK), PhD - Neurology",9 Years Experience Overall  (4 years as specialist),Neurologist,"Sampangiramnagar, Bangalore",0,0,₹800
45,Dr. Surbhi Chaturvedi,"DM - Neurology, MD - General Medicine, MBBS",11 Years Experience Overall  (3 years as specialist),Neurologist,"Ashoknagar, Bangalore",0,0,₹800
46,Dr. Jaychandran R,"MBBS, DNB - General Medicine, DM - Neurology",18 Years Experience Overall,Neurologist,"Vasanthnagar, Bangalore",100% ,(17 votes),₹1000
47,Dr. Satish Babu HV,"MBBS, MCh - Neuro Surgery",31 Years Experience Overall  (23 years as specialist),Neurologist,"HRBR Layout, Bangalore",0,0,₹1000
48,Dr. Nikhil B,"MBBS, MD - General Medicine, DNB - Neurology",13 Years Experience Overall  (3 years as specialist),Neurologist,"Bilekahalli, Bangalore",0,0,₹700
49,Dr. Sowmya. M,"MBBS, MD - General Medicine, DM - Neurology",17 Years Experience Overall  (6 years as specialist),Neurologist,"JP Nagar, Bangalore",100% ,(11 votes),₹1000
50,Dr. Balaji B S,"MBBS, MD - General Medicine, DM - Neurology",8 Years Experience Overall  (3 years as specialist),Neurologist,"Sarjapur Road, Bangalore",0,0,₹700
51,Dr. Kishore K V,"MBBS, MD - General Medicine, DM - Neurology",10 Years Experience Overall  (2 years as specialist),Neurologist,"Jayanagar, Bangalore",0,0,₹700
52,Dr. Keni Ravish Rajiv,"MBBS, MD - General Medicine, DM - Neurology",14 Years Experience Overall  (5 years as specialist),Neurologist,"JP Nagar, Bangalore",0,0,₹950
53,Dr. Kunal Jadhav,"MD - General Medicine, DM - Neurology, MBBS",14 Years Experience Overall  (5 years as specialist),Neurologist,"Wakad, Pune",90% ,(134 votes),₹900
54,Dr. Nilesh M. Bhandari,"MBBS, DNB - Neurology, DNB - General Medicine",19 Years Experience Overall  (11 years as specialist),Neurologist,"Aundh, Pune",73% ,(86 votes),₹900
55,Dr. Sarang Gotecha,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (6 years as specialist),Neurologist,"Wakad, Pune",100% ,(12 votes),₹850
56,Dr. Mandar Patil,"MBBS, DNB - Neurosurgery",13 Years Experience Overall  (3 years as specialist),Neurologist,"Wakad, Pune",0,0,₹800
57,Dr. Shalesh Rohatgi,"DM - Neurology, MD - General Medicine, MBBS",46 Years Experience Overall  (28 years as specialist),Neurologist,"NIBM, Pune",86% ,(77 votes),₹800
58,Dr. Rahul Patil,"MCh - Neuro Surgery, MBBS, MS - General Surgery",16 Years Experience Overall  (6 years as specialist),Neurologist,"Wakad, Pune",0,0,₹1000
59,Dr. Bhushan Mishal,"MBBS, MD - General Medicine, DNB - Neurology",17 Years Experience Overall  (4 years as specialist),Neurologist,"Aundh, Pune",0,0,₹1000
60,Dr. Anup Bende,"DNB - Neurology, MBBS",4 Years Experience Overall  (2 years as specialist),Neurologist,"Hadapsar, Pune",0,0,₹500
61,Dr. Priyanka Walzade,"MBBS, MD - General Medicine, DM - Neurology",9 Years Experience Overall  (3 years as specialist),Neurologist,"Baner Road, Pune",100% ,(141 votes),₹1000
62,Dr. Sarang Rote,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall  (7 years as specialist),Neurologist,"Camp, Pune",0,0,₹1500
63,Dr. (Lt Gen) CS Narayanan,"MBBS, MD - Medicine, DM - Neurology",42 Years Experience Overall  (24 years as specialist),Neurologist,"Dwarka Sector 6, Delhi",92% ,(168 votes),₹1100
64,Dr. Ramandeep S. Dang,"MBBS, MS - General Surgery, MCh - Neuro Surgery",27 Years Experience Overall  (14 years as specialist),Neurologist,"Greater Kailash Part 1, Delhi",92% ,(280 votes),₹1500
65,Dr. Shailesh Jain,"MBBS, MS - General Surgery, MCh - Neuro Surgery",20 Years Experience Overall  (13 years as specialist),Neurologist,"Pitampura, Delhi",95% ,(142 votes),₹1200
66,Dr. Sunilkumar Baranwal,"MCh - Neuro Surgery, MS - General Surgery, MBBS",17 Years Experience Overall  (11 years as specialist),Neurologist,"Pitampura, Delhi",71% ,(28 votes),₹1100
67,Dr. Amitabh Gupta,"MBBS, MS - General Surgery, MCh - Neuro Surgery",20 Years Experience Overall  (15 years as specialist),Neurologist,"Vasant Kunj, Delhi",87% ,(23 votes),₹1200
68,Dr. Khushbu Goel,"MBBS, MD - General Medicine, DM - Neurology",15 Years Experience Overall  (7 years as specialist),Neurologist,"Dwarka Sector 6, Delhi",95% ,(59 votes),₹1100
69,Dr. Bhaskar Shukla,"DM - Neurology, MD - Pediatrics, MD - Pathology, MBBS",5 Years Experience Overall  (2 years as specialist),Neurologist,"Green Park, Delhi",100% ,(24 votes),₹1200
70,Dr. Anand Kumar Saxena,"MBBS, MD - Medicine, DM - Neurology",33 Years Experience Overall  (16 years as specialist),Neurologist,"Dwarka Sector 19, Delhi",81% ,(36 votes),₹1400
71,Dr. Kadam Nagpal,"MBBS, DM - Neurology, MD - Medicine",16 Years Experience Overall  (8 years as specialist),Neurologist,"South Extension 2, Delhi",96% ,(113 votes),₹1200
72,Dr. P. N. Renjen," FRCP, DM - Neurology, MBBS",47 Years Experience Overall  (40 years as specialist),Neurologist,"Sarita Vihar, Delhi",94% ,(955 votes),₹2000
73,Dr. Atul Prasad,"MBBS, DM - Neurology",37 Years Experience Overall  (29 years as specialist),Neurologist,"Pusa Road, Delhi",90% ,(20 votes),₹2000
74,Dr. Himank Goyal,"MD - General Medicine, MBBS, DM - Neurology",9 Years Experience Overall  (6 years as specialist),Neurologist,"Ashok Vihar Phase 1, Delhi",92% ,(26 votes),₹1000
75,Dr. Mukul Varma,"MD - Medicine, DM - Neurology, MBBS",38 Years Experience Overall  (33 years as specialist),Neurologist,"Sarita Vihar, Delhi",0,0,₹2000
76,Dr. Vinit Suri,"MBBS, MD - General Medicine, DM - Neurology",37 Years Experience Overall  (30 years as specialist),Neurologist,"Sarita Vihar, Delhi",60% ,(25 votes),₹2000
77,Dr. Rajiv Anand,"MBBS, MD - Medicine, DM - Neurology",43 Years Experience Overall  (33 years as specialist),Neurologist,"Pusa Road, Delhi",71% ,(106 votes),₹2000
78,Dr. Anoop Kohli,"MBBS, MD - Pharmacology and Therapeutics, DM - Neurology",42 Years Experience Overall  (34 years as specialist),Neurologist,"Sarita Vihar, Delhi",60% ,(15 votes),₹1500
79,Dr. Rakesh Agrawal,"MBBS, MD - Medicine, Diplomate of American Board of Psychiatry and Neurology",42 Years Experience Overall  (32 years as specialist),Neurologist,"Sarita Vihar, Delhi",100% ,(14 votes),₹2000
80,Dr. Charu Gauba,"MBBS, MD - General Medicine, DNB - Neurology",30 Years Experience Overall  (11 years as specialist),Neurologist,"Sarita Vihar, Delhi",0,0,₹1500
81,Dr. Mukesh Kumar,"MBBS, MD - Medicine, DNB - General Medicine, MD - Neurology (USA)",20 Years Experience Overall  (12 years as specialist),Neurologist,"Panchsheel Park, Delhi",0,0,₹1400
82,Dr. Chander Mohan Malhotra,"MBBS, MS - General Surgery, MCh - Neuro Surgery",31 Years Experience Overall,Neurologist,"Sarita Vihar, Delhi",0,0,₹1500
83,Dr. L K Malhotra,"DM - Neurology, MBBS, MD - General Medicine",36 Years Experience Overall,Neurologist,"Sheikh Sarai, Delhi",96% ,(106 votes),₹1500
84,Dr. Rima khanna,"MBBS, DNB - Neurology, DNB - General Medicine",14 Years Experience Overall  (5 years as specialist),Neurologist,"Shalimar Bagh, Delhi",40% ,(20 votes),₹1000
85,Dr. Vipin Satija,"MBBS, MD - General Medicine, DM - Neurology",16 Years Experience Overall  (12 years as specialist),Neurologist,"Ashok Vihar, Delhi",99% ,(267 votes),₹1000
86,Dr. Navdeep Kumar,"MBBS, MD - Medicine, DNB - Neurology",19 Years Experience Overall  (9 years as specialist),Neurologist,"Greater Kailash Part 2, Delhi",95% ,(177 votes),₹1200
87,Dr. Shruti Jain,"MBBS, MD - General Medicine, DM - Neurology",13 Years Experience Overall  (6 years as specialist),Neurologist,"Rohini, Delhi",90% ,(42 votes),₹1000
88,Dr. Rajat Chopra,"MBBS, MD - General Medicine, DNB - Neurology",10 Years Experience Overall  (2 years as specialist),Neurologist,"Rohini Sector 9, Delhi",94% ,(17 votes),₹800
89,Dr. Rohit Bansil,"MBBS, DNB - Neurosurgery",14 Years Experience Overall  (7 years as specialist),Neurologist,"Pusa Road, Delhi",0,0,₹1500
90,Dr. Rajesh Gupta,"MBBS, MD - General Medicine, DM - Neurology",23 Years Experience Overall  (14 years as specialist),Neurologist,"Patparganj, Delhi",88% ,(26 votes),₹1000
91,Dr. Anurag Saxena,"MBBS, MCh - Neuro Surgery, FRCS - Neurosurgery, MS - General Surgery",18 Years Experience Overall  (12 years as specialist),Neurologist,"Dwarka Sector 6, Delhi",0,0,₹1100
92,Dr. Gautam Arora,"MBBS, Diplomate of American Board of Psychiatry and Neurology",12 Years Experience Overall,Neurologist,"Kamla Nagar, Delhi",100% ,(43 votes),₹1100
93,Dr. Manoj Khanal,"MBBS, MD - General Medicine, DM - Neurology",16 Years Experience Overall  (10 years as specialist),Neurologist,"Shalimar Bagh, Delhi",64% ,(14 votes),₹1000
94,Dr. Vivek Kumar,"DM - Neurology, MD - Medicine, MBBS",31 Years Experience Overall  (23 years as specialist),Neurologist,"Patparganj, Delhi",0,0,₹1200
95,Dr. Mohit Goel,"MBBS, DM - Neurology",26 Years Experience Overall  (19 years as specialist),Neurologist,"Saket, Delhi",0,0,₹1200
96,Dr. Sanjay Saxena,"MBBS, DNB - Neurology, DM - Neurology",23 Years Experience Overall,Neurologist,"Patparganj, Delhi",94% ,(16 votes),₹1200
97,Dr. Amit Batra,"MBBS, MD - Medicine, DM - Neurology",22 Years Experience Overall  (10 years as specialist),Neurologist,"Patparganj, Delhi",88% ,(26 votes),₹1000
98,Dr. Puja,"MBBS, MD - General Medicine, DM - Neurology",10 Years Experience Overall  (3 years as specialist),Neurologist,"Preet Vihar, Delhi",0,0,₹600
99,Dr. Dhruv Zutshi,"MBBS, MD - General Medicine, DM - Neurology",14 Years Experience Overall  (7 years as specialist),Neurologist,"Okhla, Delhi",0,0,₹900
100,Dr. Kumar Abhinav,"MBBS, MD - General Medicine, DM - Neurology",9 Years Experience Overall  (2 years as specialist),Neurologist,"Dwarka Sector 6, Delhi",0,0,₹1000
101,Dr. T. Vijay,"MBBS, MD - General Medicine, DM - Neurology",24 Years Experience Overall  (9 years as specialist),Neurologist,"Mogappair East, Chennai",99% ,(2598 votes),₹400
102,Dr. Venkatraman K,"MBBS, MD - General Medicine, DM - Neurology",12 Years Experience Overall  (5 years as specialist),Neurologist,"Perumbakkam, Chennai",100% ,(15 votes),₹800
103,Dr. A Gunasekaran,"MBBS, DM - Neurology, MD - Pediatrics",29 Years Experience Overall  (14 years as specialist),Neurologist,"Maduravoyal, Chennai",96% ,(81 votes),₹500
104,Dr. V.Soundappan,"MBBS, MS - General Surgery, MCh - Neuro Surgery",42 Years Experience Overall  (23 years as specialist),Neurologist,"Adyar, Chennai",99% ,(133 votes),₹900
105,Dr. Vijayashankar.P,"MBBS, MD - General Medicine, DM - Neurology",12 Years Experience Overall  (8 years as specialist),Neurologist,"Anna Nagar, Chennai",0,0,₹1000
106,Dr. S. Balasubramaniam,"MBBS, MD - General Medicine, DM - Neurology",20 Years Experience Overall  (8 years as specialist),Neurologist,"Velachery, Chennai",98% ,(965 votes),₹700
107,Dr. Mahesh,"MBBS, MD - Pediatrics, DM - Neurology",13 Years Experience Overall,Neurologist,"Thousand Lights, Chennai",0,0,₹1500
108,Dr. Dinesh Nayak,"MBBS, MD - General Medicine, DM - Neurology",36 Years Experience Overall  (26 years as specialist),Neurologist,"Perumbakkam, Chennai",98% ,(40 votes),₹1000
109,Dr. Muthukumar,"MBBS, MD - Pediatrics, DM - Neurology",13 Years Experience Overall,Neurologist,"Vanagaram, Chennai",100% ,(15 votes),₹800
110,Dr. M. Kodeeswaran,"MBBS, MCh - Neuro Surgery",21 Years Experience Overall  (14 years as specialist),Neurologist,"Anna Nagar, Chennai",99% ,(3569 votes),₹500
111,Dr. Nagarajan V,"MBBS, MD - General Medicine, DM - Neurology",41 Years Experience Overall  (27 years as specialist),Neurologist,"Thiruvanmiyur, Chennai",98% ,(45 votes),₹800
112,Dr. Prabash.P.R.,"MBBS, MD - General Medicine, DM - Neurology",10 Years Experience Overall,Neurologist,"Vanagaram, Chennai",0,0,₹800
113,Dr. Vincent Thamburaj,"MBBS, DNB - Neurosurgery",46 Years Experience Overall  (31 years as specialist),Neurologist,"Teynampet, Chennai",0,0,₹1000
114,Dr. Shubha Subramanian,"MBBS, MD - General Medicine, DM - Neurology",18 Years Experience Overall  (2 years as specialist),Neurologist,"Chromepet, Chennai",96% ,(26 votes),₹600
115,Dr. Karthikeyan,"MBBS, MD - General Medicine, DM - Neurology",14 Years Experience Overall  (6 years as specialist),Neurologist,"Kolathur, Chennai",82% ,(22 votes),₹500
116,Dr. Sridharan Ramaratnam,"MBBS, MD - General Medicine, DM - Neurology",41 Years Experience Overall  (40 years as specialist),Neurologist,"Greams Road, Chennai",87% ,(23 votes),₹1500
117,Dr. Vikash Agarwal,"DM - Neurology, MBBS, MD - General Medicine",20 Years Experience Overall  (12 years as specialist),Neurologist,"Chromepet, Chennai",99% ,(209 votes),₹800
118,Dr. A. Panneer,"MBBS, MD - General Medicine, DM - Neurology",57 Years Experience Overall  (38 years as specialist),Neurologist,"Greams Road, Chennai",82% ,(22 votes),₹1500
119,Dr. Somasundaram Aadhimoolam Chinnadurai,"DM - Neurology, MD - General Medicine, MBBS, MRCP (UK)",13 Years Experience Overall  (6 years as specialist),Neurologist,"Greams Road, Chennai",100% ,(41 votes),₹1500
120,Dr. Anusha D,"DM - Neurology, MD - Pediatrics, MBBS, DNB - Neurology, DNB - Pediatrics",15 Years Experience Overall  (8 years as specialist),Neurologist,"Teynampet, Chennai",93% ,(42 votes),₹1000
121,Dr. M. Dhanaraj,"MBBS, MD - General Medicine, DM - Neurology",41 Years Experience Overall  (39 years as specialist),Neurologist,"Greams Road, Chennai",75% ,(12 votes),₹1500
122,Dr. J Senthil Nathan,"MBBS, MD - General Medicine, DM - Neurology",19 Years Experience Overall  (8 years as specialist),Neurologist,"Adyar, Chennai",94% ,(17 votes),₹800
123,Dr. Vivek Iyer,"MBBS, MD - General Medicine, DM - Neurology",15 Years Experience Overall  (7 years as specialist),Neurologist,"Vadapalani, Chennai",83% ,(12 votes),₹1500
124,Dr. Joy Varghese,"MBBS, MS - General Surgery, MCh - Neuro Surgery, Fellowship in Interventional Neurosurgery (FINR)",17 Years Experience Overall,Neurologist,"Greams Road, Chennai",0,0,₹1500
125,Dr. Muthukani,"MBBS, MD - General Medicine, DM - Neurology",12 Years Experience Overall  (3 years as specialist),Neurologist,"Greams Road, Chennai",0,0,₹600
126,Dr. Shunmuga Sundaram,"MBBS, MD - General Medicine, Diploma in Child Health (DCH), DM - Neurology",28 Years Experience Overall  (8 years as specialist),Neurologist,"Adambakkam, Chennai",94% ,(17 votes),₹700
127,Dr. Arulselvan V L,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Neurology",33 Years Experience Overall  (19 years as specialist),Neurologist,"Greams Road, Chennai",0,0,₹1000
128,Dr. N Thamil Pavai,"MBBS, MD - General Medicine, DM - Neurology",26 Years Experience Overall  (8 years as specialist),Neurologist,"Anna Nagar, Chennai",0,0,₹700
129,Dr. T.Arul Mozhi,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics, DNB - Neurology",24 Years Experience Overall  (16 years as specialist),Neurologist,"Aminjikarai, Chennai",100% ,(14 votes),₹800
130,Dr. K.Shanmugasundaram,"MBBS, MD - General Medicine, DM - Neurology, Diploma in Child Health (DCH)",28 Years Experience Overall  (9 years as specialist),Neurologist,"Velachery, Chennai",0,0,₹700
131,Dr. Geetha Lakshmipathy,"MBBS, MD - General Medicine, DM - Neurology",39 Years Experience Overall  (33 years as specialist),Neurologist,"Greams Road, Chennai",0,0,₹1500
132,Dr. S. Rajendran,"MBBS, MD - General Medicine, DM - Neurology, MRCP (UK)",30 Years Experience Overall  (8 years as specialist),Neurologist,"Greams Road, Chennai",0,0,₹600
133,Dr. Suresh Paramasivam,"MCh - Neuro Surgery, MS - Orthopaedics, MBBS",13 Years Experience Overall  (12 years as specialist),Neurologist,"Mylapore, Chennai",92% ,(12 votes),₹500
134,Dr. Noorul Ameen,"MBBS, MD - General Medicine, DM - Neurology",10 Years Experience Overall  (1 year as specialist),Neurologist,"Perumbakkam, Chennai",0,0,₹600
135,Dr. S. Yogaraj,"MBBS, MD - General Medicine, DM - Neurology",26 Years Experience Overall  (25 years as specialist),Neurologist,"Greams Road, Chennai",0,0,₹1500
136,Dr. Selvin Gnanaraj James,"MBBS, MD - General Medicine, DM - Neurology",14 Years Experience Overall  (6 years as specialist),Neurologist,"Kilpauk, Chennai",0,0,₹600
137,Dr. Priyanka M Tater,"MBBS, MD - General Medicine, DM - Neurology",12 Years Experience Overall  (3 years as specialist),Neurologist,"Mahim, Mumbai",0,0,₹1800
138,Dr. Pruthviraj Dabarase,"MD - General Medicine, DNB - Neurology",14 Years Experience Overall  (7 years as specialist),Neurologist,"Vikhroli, Mumbai",100% ,(11 votes),₹1500
139,Dr. Rajesh Benny,"MBBS, DNB - General Medicine, DM - Neurology",19 Years Experience Overall  (14 years as specialist),Neurologist,"Mulund West, Mumbai",100% ,(27 votes),₹2000
140,Dr. Nilesh  Vijay Chaudhary,"MBBS, DNB - General Medicine, DNB - Neurology",13 Years Experience Overall  (8 years as specialist),Neurologist,"Powai, Mumbai",96% ,(25 votes),₹1600
141,Dr. Pravina Ushakant Shah,"MBBS, MD - General Medicine, DM - Neurology",47 Years Experience Overall  (45 years as specialist),Neurologist,"Mulund West, Mumbai",85% ,(20 votes),₹2000
142,Dr. Dhanashri Chonkar,"MBBS, DNB - Neurology",35 Years Experience Overall  (12 years as specialist),Neurologist,"Mulund West, Mumbai",90% ,(29 votes),₹2000
143,Dr. Vinod Rambal,"MCh - Neuro Surgery, MBBS, MS - General Surgery",40 Years Experience Overall  (22 years as specialist),Neurologist,"Mira Road, Mumbai",95% ,(19 votes),₹1000
144,Dr. Sureka Dhara Shrikant,"MD - Medicine, DNB - Neurology, MBBS",17 Years Experience Overall  (9 years as specialist),Neurologist,"Mulund West, Mumbai",0,0,₹2000
145,Dr. Rima Chaudhari,"MBBS, DNB - General Medicine, DM - Neurology",12 Years Experience Overall  (8 years as specialist),Neurologist,"Mulund West, Mumbai",86% ,(14 votes),₹2000
146,Dr. Shirish Hastak,"MBBS, DNB - General Medicine, DM - Neurology",42 Years Experience Overall  (34 years as specialist),Neurologist,"Parel, Mumbai",100% ,(14 votes),₹4100
147,Dr. Pankaj Ashok Agarwal,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Neurology",25 Years Experience Overall  (15 years as specialist),Neurologist,"Parel, Mumbai",79% ,(14 votes),₹2350
148,Dr. Kaustubh Mahajan,"MBBS, FCPS - Medicine, DNB - Neurology",8 Years Experience Overall,Neurologist,"Mahim, Mumbai",93% ,(14 votes),₹1300
149,Dr. Sunanda Anand,"MBBS, MD - General Medicine, DM - Neurology",29 Years Experience Overall  (22 years as specialist),Neurologist,"Mahim, Mumbai",100% ,(26 votes),₹2800
