,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
22,Dr. Srinivas B V,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",20 Years Experience Overall  (7 years as specialist),Urologist,"Rajajinagar, Bangalore",0,0,₹600
23,Dr. Pramod B R,"MBBS, MS - General Surgery, MRCS (UK), MCh - Urology/Genito-Urinary Surgery",21 Years Experience Overall  (17 years as specialist),Urologist,"Jayanagar, Bangalore",89% ,(35 votes),₹1000
24,Dr. Vinod Kumar P,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",13 Years Experience Overall  (5 years as specialist),Urologist,"Padmanabhanagar, Bangalore",98% ,(99 votes),₹750
25,Dr. Ajay Shetty,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",18 Years Experience Overall,Urologist,"Hebbal, Bangalore",91% ,(150 votes),₹1090
26,Dr. Praveen Joshi,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",23 Years Experience Overall  (10 years as specialist),Urologist,"Old Airport Road, Bangalore",91% ,(122 votes),₹850
27,Dr. Girish Nelivigi,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",29 Years Experience Overall  (21 years as specialist),Urologist,"Bellandur, Bangalore",88% ,(85 votes),₹650
28,Dr. Vinay Patil,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",25 Years Experience Overall  (17 years as specialist),Urologist,"Hebbal, Bangalore",0,0,₹800
29,Dr. Vikram G.D.,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",15 Years Experience Overall  (10 years as specialist),Urologist,"Hebbal, Bangalore",96% ,(45 votes),₹800
30,Dr. Deepak Dubey,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology, FRCS - Urology",33 Years Experience Overall  (21 years as specialist),Urologist,"Old Airport Road, Bangalore",89% ,(53 votes),₹900
31,Dr. Chethan J V,"MBBS, MS - General Surgery, MCh - Urology",15 Years Experience Overall  (6 years as specialist),Urologist,"Whitefield, Bangalore",0,0,₹850
32,Dr. Prabhudev Salanki,"MBBS, MS - General Surgery, FRCS - Urology, DNB - Urology/Genito - Urinary Surgery",33 Years Experience Overall  (32 years as specialist),Urologist,"Seshadripuram, Bangalore",80% ,(25 votes),₹740
33,Dr. Somanna M,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",36 Years Experience Overall  (26 years as specialist),Urologist,"Old Airport Road, Bangalore",91% ,(43 votes),₹900
34,Dr. Prasanna Venkatesh M. K,"MBBS, MS - General Surgery, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",19 Years Experience Overall  (16 years as specialist),Urologist,"Rajajinagar, Bangalore",96% ,(306 votes),₹800
35,Dr. Azeem,"MBBS, MS - General Surgery, MCh - Urology",26 Years Experience Overall  (8 years as specialist),Urologist,"Indiranagar, Bangalore",0,0,₹600
36,Dr. Shakir Tabrez,"MBBS, MS - General Surgery, MCh - Urology",20 Years Experience Overall  (18 years as specialist),Urologist,"Cunningham Road, Bangalore",96% ,(26 votes),₹700
37,Dr. Krishna Prasad T,"DNB - Urology/Genito - Urinary Surgery, MBBS",10 Years Experience Overall,Urologist,"Rajajinagar, Bangalore",88% ,(75 votes),₹500
38,Dr. Mahendra Jain,"MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MBBS",33 Years Experience Overall  (24 years as specialist),Urologist,"Bannerghatta Road, Bangalore",80% ,(45 votes),₹650
39,Dr. Srinivas A K,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (11 years as specialist),Urologist,"Old Airport Road, Bangalore",0,0,₹900
40,Dr. I R Ravish,"MBBS, MS - General Surgery, MCh - Urology",26 Years Experience Overall  (20 years as specialist),Urologist,"JP Nagar, Bangalore",85% ,(62 votes),₹950
41,Dr. Narendra,"MBBS, MCh - Urology/Genito-Urinary Surgery, MS - General Surgery",24 Years Experience Overall  (19 years as specialist),Urologist,"Kengeri, Bangalore",75% ,(16 votes),₹700
42,Dr. Mohan Keshavamurthy,"MBBS, MCh - Urology, MS - General Surgery",29 Years Experience Overall  (27 years as specialist),Urologist,"Bannerghatta Road, Bangalore",72% ,(39 votes),₹1150
43,Dr. Shivashankar,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, FICS",35 Years Experience Overall,Urologist,"Old Airport Road, Bangalore",68% ,(41 votes),₹900
44,Dr. Mohan,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",15 Years Experience Overall,Urologist,"Millers Road, Bangalore",92% ,(24 votes),₹1000
45,Dr. V MohanKumar,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",17 Years Experience Overall  (6 years as specialist),Urologist,"Hebbal, Bangalore",0,0,₹800
46,Dr. Anand M,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",28 Years Experience Overall,Urologist,"Malleswaram, Bangalore",94% ,(63 votes),₹750
47,Dr. Raju R,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (2 years as specialist),Urologist,"Jayanagar 9 Block, Bangalore",0,0,₹750
48,Dr. Anuj Jain,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (2 years as specialist),Urologist,"Bannerghatta Road, Bangalore",0,0,₹1000
49,Dr. A Nagaraj Rao,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",24 Years Experience Overall  (21 years as specialist),Urologist,"Rajarajeshwarinagar, Bangalore",94% ,(54 votes),₹800
50,Dr. Vishal Ratkal,"MCh - Urology, MS - General Surgery, MBBS",17 Years Experience Overall  (6 years as specialist),Urologist,"Rajarajeshwarinagar, Bangalore",98% ,(49 votes),₹700
51,Dr. Deepak K,"MBBS, MS - General Surgery, MCh - Urology",1 Year Experience Overall,Urologist,"Padmanabhanagar, Bangalore",0,0,₹750
52,Dr. Madhusudhan H.R.,"MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS",26 Years Experience Overall  (21 years as specialist),Urologist,"Kumaraswamy Layout, Bangalore",69% ,(35 votes),₹500
53,Dr. Dilip Dhanpal,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",42 Years Experience Overall  (41 years as specialist),Urologist,"HSR Layout, Bangalore",63% ,(27 votes),₹1000
54,Dr. Mohan Balaiah Aswathaiya,"DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MBBS",15 Years Experience Overall  (5 years as specialist),Urologist,"Cunningham Road, Bangalore",0,0,₹700
55,Dr. Chandrashekar,"MBBS, DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MRCS (UK)",22 Years Experience Overall  (9 years as specialist),Urologist,"Nagasandra, Bangalore",100% ,(11 votes),₹700
56,Dr. Giridhar Venkatesh,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (12 years as specialist),Urologist,"Electronics City, Bangalore",100% ,(23 votes),₹700
57,Dr. Dilip Jawali,"MBBS, MCh - Urology, MS - General Surgery",42 Years Experience Overall,Urologist,"Seshadripuram, Bangalore",0,0,₹740
58,Dr. Kunal K Mehra,"MBBS, MS - General Surgery, MCh - Urology",12 Years Experience Overall  (2 years as specialist),Urologist,"Kundalahalli, Bangalore",0,0,₹800
59,Dr. T. Manohar,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",32 Years Experience Overall  (24 years as specialist),Urologist,"Seshadripuram, Bangalore",50% ,(20 votes),₹1000
60,Dr. Nagareddy,"MBBS, MS - General Surgery, MCh - Urology",9 Years Experience Overall  (1 year as specialist),Urologist,"HRBR Layout, Bangalore",0,0,₹700
61,Dr. Raghunath S K,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",18 Years Experience Overall,Urologist,"Sampangiramnagar, Bangalore",0,0,₹800
62,Dr. Praveen B Sancheti,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",16 Years Experience Overall  (3 years as specialist),Urologist,"Banashankari 3rd Stage, Bangalore",0,0,₹400
63,Dr. Santosh Bethur S,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",9 Years Experience Overall,Urologist,"Seshadripuram, Bangalore",0,0,₹740
64,Dr. Nithyananda H A,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",12 Years Experience Overall  (4 years as specialist),Urologist,"Kammana Halli, Bangalore",0,0,₹750
65,Dr. Manohar Badrappa,"MCh - Urology, DHMS (Diploma in Homeopathic Medicine and Surgery), MS - General Surgery",20 Years Experience Overall  (9 years as specialist),Urologist,"Basavanagudi, Bangalore",0,0,₹400
66,Dr. Prashanth G,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",17 Years Experience Overall  (7 years as specialist),Urologist,"Seshadripuram, Bangalore",0,0,₹740
67,Dr. Sharath C T,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",10 Years Experience Overall  (2 years as specialist),Urologist,"Rajajinagar, Bangalore",0,0,₹350
68,Dr. G.R.Manjunath,"MBBS, MS - General Surgery, MCh - Urology",12 Years Experience Overall  (3 years as specialist),Urologist,"Nagasandra, Bangalore",0,0,₹600
69,Dr. Vinay N Kaushik,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",12 Years Experience Overall  (4 years as specialist),Urologist,"Sampangiramnagar, Bangalore",0,0,₹800
70,Dr. Santhosh Srinivasan,"DNB - General Surgery, MBBS, DNB - Urology/Genito - Urinary Surgery",5 Years Experience Overall,Urologist,"Malleswaram, Bangalore",0,0,₹750
71,Dr. Vishruth K Raj,"MBBS, MS - General Surgery, MCh - Urology",12 Years Experience Overall  (5 years as specialist),Urologist,"Banashankari 3rd Stage, Bangalore",0,0,₹700
72,Dr. Narasimhaiah  K,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (13 years as specialist),Urologist,"HSR Layout, Bangalore",47% ,(17 votes),₹700
73,Dr. Tarun Javali,"MBBS, MS - General Surgery, MCh - Urology",11 Years Experience Overall,Urologist,"Malleswaram, Bangalore",96% ,(45 votes),₹850
74,Dr. Shreyas Nagaraj,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",13 Years Experience Overall  (4 years as specialist),Urologist,"HBR Layout, Bangalore",0,0,₹800
75,Dr. Shreeharsha Mallappa Awati,"DNB - Urology/Genito - Urinary Surgery, MS - General Surgery, MBBS",20 Years Experience Overall  (10 years as specialist),Urologist,"Hulimavu, Bangalore",91% ,(43 votes),₹700
76,Dr. Bivek Kumar,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (5 years as specialist),Urologist,"Bellandur, Bangalore",90% ,(50 votes),₹450
77,Dr. Sachin Patil,"MBBS, MS - General Surgery, MCh - Urology",20 Years Experience Overall  (14 years as specialist),Urologist,"Baner, Pune",95% ,(170 votes),₹699
78,Dr. Parag Vijay Gulhane,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",15 Years Experience Overall  (4 years as specialist),Urologist,"Hadapsar, Pune",0,0,₹600
79,Dr. Hiralal Chaudhari,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",21 Years Experience Overall  (9 years as specialist),Urologist,"Aundh, Pune",97% ,(870 votes),₹700
80,Dr. Bhoopat Singh Bhati,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",21 Years Experience Overall  (12 years as specialist),Urologist,"Viman Nagar, Pune",97% ,(878 votes),₹1000
81,Dr. Ketan Vartak,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",34 Years Experience Overall  (26 years as specialist),Urologist,"FC Road, Pune",86% ,(195 votes),₹800
82,Dr. Suraj Lunavat,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",14 Years Experience Overall  (7 years as specialist),Urologist,"Tilak Road, Pune",100% ,(522 votes),₹1000
83,Dr. Yogesh Dattatraya Kaje,"MBBS, MCh - Urology, MS - General Surgery",15 Years Experience Overall  (11 years as specialist),Urologist,"Hadapsar, Pune",94% ,(86 votes),₹700
84,Dr. Himesh Gandhi,"MCh - Urology, MS - General Surgery, MBBS",15 Years Experience Overall  (7 years as specialist),Urologist,"Kalyani Nagar, Pune",97% ,(58 votes),₹1000
85,Dr. Shashikant  Bhange,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery",28 Years Experience Overall  (21 years as specialist),Urologist,"Kharadi, Pune",77% ,(30 votes),₹1000
86,Dr. Anand Dharaskar,"MBBS, MS - General Surgery, MRCS (UK), MCh - Urology",22 Years Experience Overall  (12 years as specialist),Urologist,"Baner, Pune",85% ,(41 votes),₹1000
87,Dr. Mhaskar Shrikant,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",24 Years Experience Overall  (19 years as specialist),Urologist,"Wanowrie, Pune",0,0,₹700
88,Dr. Gopal Rathi,"MBBS, MS - General Surgery",15 Years Experience Overall  (1 year as specialist),Urologist,"Kharadi, Pune",0,0,₹1000
89,Dr. Anil Keskar,"MBBS, MCh - Urology/Genito-Urinary Surgery",10 Years Experience Overall  (2 years as specialist),Urologist,"Hadapsar, Pune",0,0,₹1000
90,Dr. Chandrakant Kar,"MCh - Urology, MS - General Surgery, MBBS",24 Years Experience Overall  (13 years as specialist),Urologist,"Dwarka, Delhi",81% ,(73 votes),₹699
91,Dr. Parag Gupta,"MBBS, MS - General Surgery, MCh - Urology",24 Years Experience Overall  (13 years as specialist),Urologist,"Janakpuri, Delhi",93% ,(1037 votes),₹800
92,Dr. H.S.Bhatyal,"MBBS, MS - General Surgery, MCh - Urology",50 Years Experience Overall  (35 years as specialist),Urologist,"Pusa Road, Delhi",0,0,₹1500
93,Dr. Ashish Saini,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",19 Years Experience Overall  (12 years as specialist),Urologist,"Greater Kailash Part 1, Delhi",94% ,(170 votes),₹1100
94,Dr. Vishal Dutt Gour,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",20 Years Experience Overall  (17 years as specialist),Urologist,"Greater Kailash Part 1, Delhi",89% ,(19 votes),₹1200
95,Dr. Harbinder Singh,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery",18 Years Experience Overall  (6 years as specialist),Urologist,"Rohini Sector 3, Delhi",98% ,(114 votes),₹800
96,Dr. Ankur Arya,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",12 Years Experience Overall  (6 years as specialist),Urologist,"Pusa Road, Delhi",0,0,₹1200
97,Dr. Anurag Puri,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (7 years as specialist),Urologist,"Vasant Kunj, Delhi",94% ,(36 votes),₹1000
98,Dr. Piyush Varshney,"MBBS, MS - General Surgery, MCh - Urology",19 Years Experience Overall  (11 years as specialist),Urologist,"Vasundhra Enclave, Delhi",88% ,(84 votes),₹600
99,Dr. Atul Goswami,"MBBS, MS - General Surgery, MCh - Urology",37 Years Experience Overall  (33 years as specialist),Urologist,"Gujranwala Town, Delhi",53% ,(19 votes),₹1500
100,Dr. Rohit Juneja,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",11 Years Experience Overall  (4 years as specialist),Urologist,"Paschim Vihar, Delhi",99% ,(182 votes),₹600
101,Dr. S K Pal,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",42 Years Experience Overall  (36 years as specialist),Urologist,"Nehru Place, Delhi",71% ,(28 votes),₹1500
102,Dr. Rohit Kaushal,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",14 Years Experience Overall  (5 years as specialist),Urologist,"Panchsheel Park, Delhi",92% ,(64 votes),₹800
103,Dr. Arun Antony,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS",13 Years Experience Overall  (5 years as specialist),Urologist,"Pusa Road, Delhi",99% ,(200 votes),₹1200
104,Dr. Aman Gupta,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (13 years as specialist),Urologist,"Vasant Kunj, Delhi",97% ,(31 votes),₹1000
105,Dr. Gaurav Garg,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",11 Years Experience Overall  (3 years as specialist),Urologist,"Panchsheel Park, Delhi",98% ,(54 votes),₹1000
106,Dr. Rajinder Yadav,"MBBS, MS - General Surgery, MCh - Urology",49 Years Experience Overall  (41 years as specialist),Urologist,"Shalimar Bagh, Delhi",61% ,(23 votes),₹1500
107,Dr. Amit Bansal,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",12 Years Experience Overall  (4 years as specialist),Urologist,"Panchsheel Park, Delhi",0,0,₹800
108,Dr. Gautam Banga,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (12 years as specialist),Urologist,"Greater Kailash Part 1, Delhi",91% ,(64 votes),₹1300
109,Dr. Rajesh Taneja,"MBBS, MS - General Surgery, MCh - Urology",36 Years Experience Overall  (28 years as specialist),Urologist,"Sarita Vihar, Delhi",0,0,₹1500
110,Dr. Pragnesh Desai,"MCh - Urology, DNB - General Surgery, MBBS",18 Years Experience Overall  (13 years as specialist),Urologist,"Panchsheel Park, Delhi",0,0,₹1000
111,Dr. B L Bhan,"MBBS, MS - General Surgery, MCh - Urology",55 Years Experience Overall  (48 years as specialist),Urologist,"Kilokri, Delhi",0,0,₹700
112,Dr. Anish Kumar Gupta,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS",17 Years Experience Overall  (10 years as specialist),Urologist,"Ashok Vihar, Delhi",97% ,(927 votes),₹800
113,Dr. Vikas Jain,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",22 Years Experience Overall  (16 years as specialist),Urologist,"Shalimar Bagh, Delhi",0,0,₹1500
114,Dr. Ajit Saxena,"MBBS, MS - General Surgery, Diploma in Urology",35 Years Experience Overall  (32 years as specialist),Urologist,"Sarita Vihar, Delhi",0,0,₹2000
115,Dr. Anshuman Agarwal,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",26 Years Experience Overall  (19 years as specialist),Urologist,"Sarita Vihar, Delhi",90% ,(20 votes),₹1500
116,Dr. Ashish Sabharwal,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS",18 Years Experience Overall  (8 years as specialist),Urologist,"Sarita Vihar, Delhi",62% ,(13 votes),₹2000
117,Dr. Vipin Arora,"MBBS, MS - General Surgery, Diploma in Urology",35 Years Experience Overall,Urologist,"Sarita Vihar, Delhi",0,0,₹1500
118,Dr. Swatantra Rao,"MCh - Urology, MBBS, MS - General Surgery",10 Years Experience Overall  (4 years as specialist),Urologist,"Vasant Vihar, Delhi",96% ,(27 votes),₹1000
119,Dr. Yajvender Pratap Singh Rana,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",18 Years Experience Overall  (10 years as specialist),Urologist,"Pusa Road, Delhi",77% ,(13 votes),₹1200
120,Dr. Pawan Kesarwani,"MBBS, MS - General Surgery, MCh - Urology",26 Years Experience Overall  (19 years as specialist),Urologist,"Patparganj, Delhi",86% ,(107 votes),₹1000
121,Dr. (Prof.) Nayan Kumar,"MBBS, MS - General Surgery, MCh - Urology",48 Years Experience Overall  (38 years as specialist),Urologist,"Safdarjung Enclave, Delhi",96% ,(28 votes),₹1000
122,Dr. Anjani Kumar Agrawal,"MBBS, MS - General Surgery, MCh - Urology",27 Years Experience Overall  (25 years as specialist),Urologist,"Saket, Delhi",97% ,(75 votes),₹1800
123,Dr. Sanjay Gogoi,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MNAMS - Urology",24 Years Experience Overall  (21 years as specialist),Urologist,"Dwarka Sector 6, Delhi",83% ,(36 votes),₹1100
124,Dr. Anant Kumar,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery",42 Years Experience Overall  (35 years as specialist),Urologist,"Patparganj, Delhi",68% ,(28 votes),₹1500
125,Dr. Aditya Pradhan,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",27 Years Experience Overall  (18 years as specialist),Urologist,"Dwarka Sector 12, Delhi",72% ,(60 votes),₹1500
126,Dr. Shailesh Chandra Sahay,"MBBS, MS - General Surgery, MCh - Urology",20 Years Experience Overall  (12 years as specialist),Urologist,"Patparganj, Delhi",84% ,(43 votes),₹1000
127,Dr. Pankaj Gaur,"MBBS, MS - General Surgery, MCh - Urology, Fellowship in Laparoscopic and Robotic Surgical Oncology",16 Years Experience Overall  (4 years as specialist),Urologist,"Patparganj, Delhi",91% ,(11 votes),₹1000
128,Dr. Puneet Ahluwalia,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",16 Years Experience Overall  (8 years as specialist),Urologist,"Patparganj, Delhi",0,0,₹800
129,Dr. Gagan Gautam,"MBBS, MS - General Surgery, MCh - Urology, DNB - General Surgery",24 Years Experience Overall  (19 years as specialist),Urologist,"Saket, Delhi",0,0,₹1200
130,Dr. Mayank Gupta,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",26 Years Experience Overall  (19 years as specialist),Urologist,"Patparganj, Delhi",67% ,(39 votes),₹1000
131,Dr. Anupam Bhargava,"MBBS, Diploma in Urology",33 Years Experience Overall,Urologist,"Saket, Delhi",0,0,₹2200
132,Dr. Vijay Kumar,"MBBS, MS - General Surgery, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",30 Years Experience Overall  (23 years as specialist),Urologist,"Saket, Delhi",0,0,₹1800
133,Dr. Paras Singhal,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (11 years as specialist),Urologist,"Mayur Vihar Ph-I, Delhi",0,0,₹800
134,Dr. Ankur Singhal,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",4 Years Experience Overall  (1 year as specialist),Urologist,"Nirman Vihar, Delhi",0,0,₹1000
135,Dr. R Shanmugasundaram,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",24 Years Experience Overall  (20 years as specialist),Urologist,"Arumbakkam, Chennai",98% ,(182 votes),₹800
136,Dr. P B Sivaraman,"MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, MBBS",50 Years Experience Overall  (44 years as specialist),Urologist,"OMR Road, Chennai",97% ,(434 votes),₹600
137,Dr. Ananthakrishnan,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Urology/Genito-Urinary Surgery",24 Years Experience Overall  (16 years as specialist),Urologist,"OMR Road, Chennai",99% ,(675 votes),₹600
138,Dr. M R Pari,"MBBS, MS - General Surgery, MCh - Urology",25 Years Experience Overall  (16 years as specialist),Urologist,"Adyar, Chennai",98% ,(300 votes),₹700
