Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Vineet Mannan,Ophthalmologist,"MBBS, MS - General Surgery",15,HRBR Layout, Bangalore,0,0,600
Dr. G. Moinoddin,Ophthalmologist,"MS - General Surgery, MBBS",12,Millers Road, Bangalore,100,12,1000
Dr. Ramraj V N,Ophthalmologist,"MBBS, DNB - General Surgery, Fellow of American College of Surgeons(FACS)",12,Richmond Town, Bangalore,0,0,600
Dr. G. H. Raju,Ophthalmologist,"MBBS, MS - General Surgery",24,Bannerghatta Road, Bangalore,88,17,850
Dr. Kumar S S,Ophthalmologist,"MS - General Surgery, MBBS",16,HBR Layout, Bangalore,0,0,600
Dr. Manohar S,Ophthalmologist,"MBBS, DNB - General Surgery",13,Vasanthnagar, Bangalore,0,0,400
Dr. Girish Bapat,Ophthalmologist,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI), FRCS - General Surgery",29,Kothrud, Pune,95,420,1000
Dr. Abhijit A Whatkar,Ophthalmologist,"MBBS, DNB - General Surgery, FCPS - General Surgery",14,Kharadi, Pune,99,118,700
Dr. Mustafa  Shakir,Ophthalmologist,"MBBS, DNB - General Surgery, MRCS (UK), FICS",22,Undri, Pune,100,65,500
Dr. Pushparaj S. Karmarkar,Ophthalmologist,"MBBS, MS - General Surgery",38,Kothrud, Pune,97,193,700
Dr. Narendra Chopde,Ophthalmologist,"MBBS, MS - General Surgery",13,Kharadi, Pune,0,0,700
Dr. Jayashree Todkar,Ophthalmologist,"MBBS, MS - General Surgery",30,Dhole Patil Road, Pune,95,111,1000
Dr. Shashank Shah,Ophthalmologist,"MBBS, MS - General Surgery",33,Sadashiv Peth, Pune,95,44,1500
Dr. Sudhir A Jadhav,Ophthalmologist,"MBBS, MS - General Surgery",18,Kharadi, Pune,100,191,650
Dr. Neeraj Rayate,Ophthalmologist,"MS - General Surgery, MBBS, DNB - General Surgery",22,Shivajinagar, Pune,99,335,300
Dr. Chetan N. Mhaske,Ophthalmologist,"MBBS, MS - General Surgery",20,Hadapsar, Pune,97,60,500
Dr. Shrikant Kurhade,Ophthalmologist,"MBBS, MS - General Surgery",14,Alandi Devachi, Pune,100,120,350
Dr. Kedar Pratap Patil,Ophthalmologist,"DNB - General Surgery, MBBS",12,Sadashiv Peth, Pune,100,19,500
Dr. Ashish Kumar Shrivastav,Ophthalmologist,"MBBS, DNB - General Surgery",22,Shivajinagar, Pune,100,12,500
Dr. Satish Pattanshetti,Ophthalmologist,"MBBS, MS - General Surgery",20,Bavdhan, Pune,99,200,900
Dr. S P SIngh,Ophthalmologist,"DNB - General Surgery, MBBS, FCPS - General Surgery",18,Koregaon Park, Pune,82,17,500
Dr. Swati Inamdar,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Surgery",19,Warje, Pune,100,29,250
Dr. Sushil Deshmukh,Ophthalmologist,"MBBS, MS - General Surgery",14,Viman Nagar, Pune,94,78,500
Dr. Nikunj Bansal,Ophthalmologist,"MBBS, MS - General Surgery",21,Karol Bagh, Delhi,0,0,499
Dr. Deep Goel,Ophthalmologist,"MBBS, DNB - General Surgery",31,Pusa Road, Delhi,0,0,1500
Dr. Ashish Pitale,Ophthalmologist,"MBBS, MS - General Surgery, FRCS - General Surgery",31,Dwarka, Delhi,97,68,700
Dr. Sumeet Shah,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Surgery",28,Greater Kailash Part 1, Delhi,0,0,1200
Dr. Ashish Sachan,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",11,Dilshad Garden, Delhi,100,67,800
Dr. Randeep Wadhawan,Ophthalmologist,"MBBS, MS - General Surgery",33,Dwarka Sector 6, Delhi,0,0,1100
Dr. Saurabh Bansal,Ophthalmologist,"MBBS, DNB - General Surgery",16,Green Park, Delhi,100,34,1000
Dr. Ravindra Vats,Ophthalmologist,"MBBS, MS - General Surgery",22,Pusa Road, Delhi,0,0,1500
Dr. Shailender Kumar Jain,Ophthalmologist,"MBBS, MS - General Surgery",27,Dwarka, Delhi,83,47,500
Dr. Sandeep Jain,Ophthalmologist,"MBBS, DNB - General Surgery",20,Patparganj, Delhi,92,12,800
Dr. Pradeep K Dewan,Ophthalmologist,"MBBS, MS - General Surgery",42,Patparganj, Delhi,0,0,800
Dr. Naveen Kumar Verma,Ophthalmologist,"MBBS, MS - General Surgery",7,Dwarka Sector 6, Delhi,0,0,1100
Dr. Arun Bhardwaj,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Surgery, MRCS (UK)",13,Dwarka Sector 6, Delhi,100,13,1100
Dr. Suresh Kumar Abrol,Ophthalmologist,"MBBS, MS - General Surgery",42,Punjabi Bagh, Delhi,0,0,1000
Dr. Bhoopendra Prasad,Ophthalmologist,"MBBS, MS - General Surgery",20,Vasant Kunj, Delhi,0,0,1000
Dr. Shailesh Gupta,Ophthalmologist,"MBBS, MS - General Surgery",11,Patparganj, Delhi,0,0,800
Dr. Jotinder Khanna,Ophthalmologist,"MBBS, MS - General Surgery, FNB - Minimal Access Surgery",25,Nehru Place, Delhi,100,33,1000
Dr. Amit Agarwal,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Medicine",19,Pusa Road, Delhi,100,25,1800
Dr. Arun Prasad,Ophthalmologist,"MBBS, MS - General Surgery, FRCS - General Surgery, Fellow of American College of Surgeons(FACS)",38,Sarita Vihar, Delhi,100,17,1500
Dr. Pradeep Jain,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MCh - Surgical Oncology",36,Shalimar Bagh, Delhi,85,47,1500
Dr. Mohit Jain,Ophthalmologist,"MBBS, MS - General Surgery",22,Pusa Road, Delhi,97,39,1800
Dr. Arush Sabharwal,Ophthalmologist,"MBBS, MS - General Surgery",13,Karol Bagh, Delhi,0,0,850
Dr. Sandip Banerjee,Ophthalmologist,"MBBS, DNB - General Surgery, MNAMS - General Surgery",19,Nehru Place, Delhi,0,0,1000
Dr. Amit Javed,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21,Punjabi Bagh, Delhi,99,235,1000
Dr. Aloy J Mukherjee,Ophthalmologist,"MBBS, MS - General Surgery",25,Sarita Vihar, Delhi,0,0,1500
Dr. Muneendra Gupta,Ophthalmologist,"MBBS, MS - General Surgery",46,Vasant Kunj, Delhi,85,46,1500
Dr. Amit Jain,Ophthalmologist,"MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MBBS",18,Patparganj, Delhi,89,195,800
Dr. Pankaj Sharma,Ophthalmologist,"MBBS, MS - General Surgery",30,Rohini, Delhi,97,214,1000
Dr. Harmeet Singh Kapoor,Ophthalmologist,"MBBS, MS - General Surgery",34,Pusa Road, Delhi,0,0,1800
Dr. Rekha Jaiswal,Ophthalmologist,"MBBS, MS - General Surgery",29,Sarita Vihar, Delhi,0,0,1500
Dr. Sukhvinder Singh Saggu,Ophthalmologist,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",22,Punjabi Bagh, Delhi,91,11,1000
Dr. Vivek Bindal,Ophthalmologist,"MBBS, DNB - General Surgery, MS - General Surgery, MRCS (UK), FNB - Minimal Access Surgery, MNAMS - General Surgery",13,Patparganj, Delhi,0,0,1000
Dr. S S Bhagat,Ophthalmologist,"MBBS, MS - General Surgery",39,Patparganj, Delhi,0,0,600
Dr. Atul N.C. Peters,Ophthalmologist,"MBBS, DNB - General Surgery",27,Saket, Delhi,0,0,2000
Dr. Sushant Verma,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Surgery",13,Shalimar Bagh, Delhi,0,0,600
Dr. Ashutosh Jha,Ophthalmologist,"MBBS, MS - General Surgery",30,Patparganj, Delhi,0,0,400
Dr. Sanjay Verma,Ophthalmologist,"MBBS, MS - General Surgery",27,Okhla, Delhi,0,0,1500
Dr. Preethi Mrinalini K,Ophthalmologist,"MBBS, MS - General Surgery",10,Nungambakkam, Chennai,100,33,700
Dr. T.S.Chandrasekar,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",27,Perungudi, Chennai,97,60,700
Dr. Prabudoss,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",21,Velachery, Chennai,96,410,700
Dr. Raj Palaniappan,Ophthalmologist,"MS - General Surgery, MBBS",25,Greams Road, Chennai,97,242,2500
Dr. Carunya Mannan,Ophthalmologist,"MBBS, MS - General Surgery",9,Alwarpet, Chennai,0,0,1000
Dr. Rajkumar Palaniappan,Ophthalmologist,"MBBS, MS - General Surgery",25,Greams Road, Chennai,0,0,1000
Dr. Perungo Thirumarai Chelvan,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",18,Chromepet, Chennai,82,11,800
Dr. Naveen Alexander,Ophthalmologist,"MS - General Surgery, MBBS",16,Kilpauk, Chennai,95,22,500
Dr. Yamini,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",22,T Nagar, Chennai,95,102,400
Dr. Prakash Hindurao Kurane,Ophthalmologist,"MBBS, MS - General Surgery",8,Chembur, Mumbai,0,0,999
Dr. Vishal Diddi,Ophthalmologist,"MBBS, DNB - General Surgery, FCPS - General Surgery",16,Andheri, Mumbai,100,37,700
Dr. Jayashree Todkar,Ophthalmologist,"MBBS, MS - General Surgery",30,Powai, Mumbai,95,111,1500
Dr. Manoj Gandhi,Ophthalmologist,"DNB - General Surgery, MBBS",27,Dadar, Mumbai,90,21,1500
Dr. Rais Ansari,Ophthalmologist,"MS - General Surgery, MBBS",22,Worli, Mumbai,98,40,3500
Dr. Sanjay Borude,Ophthalmologist,"MS - General Surgery, MBBS",38,Chembur, Mumbai,98,102,3000
Dr. Laxman Salve,Ophthalmologist,"MBBS, MS - General Surgery",21,Chembur, Mumbai,99,168,2000
Dr. Aparna Govil Bhasker,Ophthalmologist,"MS - General Surgery, MBBS",16,Chembur, Mumbai,94,106,1500
Dr. Ramen Goel,Ophthalmologist,"MBBS, MS - General Surgery",36,Chembur, Mumbai,96,25,1500
Dr. Manish Motwani,Ophthalmologist,"MBBS, MS - General Surgery",26,Mulund West, Mumbai,89,18,1000
Dr. Hemal Bhagat,Ophthalmologist,"MBBS, DNB - General Surgery, Diploma in Laparoscopy",28,Andheri West, Mumbai,98,1153,2000
Dr. Muffazal Lakdawala,Ophthalmologist,"MBBS, MS - General Surgery",31,Worli, Mumbai,97,168,4000
Dr. Brijesh Dube,Ophthalmologist,"MBBS, MS - General Surgery",24,Malad West, Mumbai,0,0,1000
Dr. E.Debaraju Reddy,Ophthalmologist,"MBBS, DNB - General Surgery",21,Nizampet, Hyderabad,99,164,300
Dr. Ananda Kumar,Ophthalmologist,"MBBS, MS - General Surgery, FRCS (Edinburgh)",29,Ameerpet, Hyderabad,98,1072,1200
Dr. T Varun Raju,Ophthalmologist,"MBBS, DNB - General Surgery",27,Erragadda, Hyderabad,93,28,300
Dr. C Raja Krishna Prasad,Ophthalmologist,"MS - General Surgery, MBBS",30,Hyderguda, Hyderabad,0,0,1000
Dr. Nandakishore Dukkipati,Ophthalmologist,"MBBS, Diplomate of the American Board of Surgery (General Surgery)",28,Jubilee Hills, Hyderabad,100,81,850
Dr. P. Jayasimha Reddy,Ophthalmologist,"MBBS, MS - General Surgery",24,Vidyanagar, Hyderabad,100,85,500
Dr. Dipti Thakkar,Ophthalmologist,"MBBS, DNB - General Surgery",16,Jubilee Hills, Hyderabad,96,49,500
Dr. G Suresh Chandra Hari,Ophthalmologist,"MBBS, MS - General Surgery",36,Lingampally, Hyderabad,89,46,800
Dr. Patwadi Ajay Kumar,Ophthalmologist,"MS - General Surgery, MBBS",13,Kondapur, Hyderabad,100,25,500
Dr. Pradeep Panigrahi,Ophthalmologist,"MBBS, MS - General Surgery",24,Karmanghat, Hyderabad,98,43,350
Dr. Ravula Phani Krishna,Ophthalmologist,"MS - General Surgery, MRCS (UK), MCh - Surgical Gastroenterology/G.I. Surgery, MBBS, DNB - Gastroenterology",22,Hitech City, Hyderabad,95,441,600
Dr. Y.Krishna Mohan,Ophthalmologist,"MBBS, MS - General Surgery",27,Banjara Hills, Hyderabad,0,0,500
Dr. Alok Rath,Ophthalmologist,"MBBS, MS - General Surgery",22,Banjara Hills, Hyderabad,0,0,500
Dr. Mahidhar Valeti,Ophthalmologist,"MBBS, MS - General Surgery",35,Gachibowli, Hyderabad,0,0,900
Dr. Surendra Ugale,Ophthalmologist,"MBBS, MS - General Surgery",38,Basheerbagh, Hyderabad,100,25,1000
Dr. Amar Vennapusa,Ophthalmologist,"MBBS, MS - General Surgery, MRCS (UK), DNB - General Surgery",23,Jubilee Hills, Hyderabad,0,0,500
Dr. Prashant Philip Das,Ophthalmologist,"MS - General Surgery, MBBS, FNB - Minimal Access Surgery",15,Secunderabad, Hyderabad,0,0,500
Dr. Jayanth K Chowdary,Ophthalmologist,"MBBS, MS - General Surgery, Diploma in Laparoscopy",19,Madinaguda, Hyderabad,53,30,500
Dr. Pavan kumar,Ophthalmologist,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",12,Somajiguda, Hyderabad,0,0,600
Dr. V Pavan Kumar,Ophthalmologist,"MBBS, DNB - Surgical Gastroenterology, MS - General Surgery",15,Kondapur, Hyderabad,0,0,500
Dr. Abhishek Katakwar,Ophthalmologist,"MBBS, MS - General Surgery, Fellow of American College of Surgeons(FACS)",13,Gachibowli, Hyderabad,0,0,500
Dr. Krishna Moorthy,Ophthalmologist,"MBBS, MS - General Surgery, MCh - Plastic Surgery",9,Gachibowli, Hyderabad,0,0,500
Dr. Jayasimha Nagella,Ophthalmologist,"MBBS, DNB - General Surgery",12,Kothapet, Hyderabad,0,0,250
Dr. Ramnaresh Soudri,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",5,HSR Layout, Bangalore,96,28,700
Dr. Roopa. R,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",23,Banashankari 2nd Stage, Bangalore,95,172,650
Dr. Balaraju D,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS",12,Jayanagar 9 Block, Bangalore,0,0,750
Dr. N Praveen Kumar,Cardiologist,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)",15,Yelahanka, Bangalore,90,101,500
Dr. Srinivas Prasad B V,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",21,Jayanagar 4 Block, Bangalore,100,19,600
Dr. Nagaraja Moorthy,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Hulimavu, Bangalore,99,206,700
Dr. Prabhakar C Koregol,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS",23,Malleswaram, Bangalore,97,1553,700
Dr. Nataraja Setty,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,JP Nagar 6 Phase, Bangalore,99,184,700
Dr. Jai Babu,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",18,Marathahalli, Bangalore,98,85,600
Dr. AV Praveen Kumar,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",23,HBR Layout, Bangalore,98,129,900
Dr. Govardhan Reddy K,Cardiologist,"MBBS, DNB - Cardiothoracic Surgery",17,Sahakaranagar, Bangalore,100,18,600
Dr. Shivanand S Patil,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",23,Bannerghatta Road, Bangalore,95,86,900
Dr. Rajpal Singh RL,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology",23,Bannerghatta Road, Bangalore,87,52,900
Dr. Nagamani A.C,Cardiologist,"DM - Cardiology, MBBS",22,Koramangala 5 Block, Bangalore,95,22,850
Dr. Prajith Pasam,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",9,HSR Layout, Bangalore,0,0,600
Dr. Santhosh Kumar,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS",18,JP Nagar 7 Phase, Bangalore,0,0,600
Dr. Ashok Kumar P,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",31,Vasanthnagar, Bangalore,0,0,700
Dr. Kapil Rangan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Kundalahalli, Bangalore,87,15,850
Dr. Srinivas V K,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",38,Ashoknagar, Bangalore,0,0,800
Dr. B. Ramesh,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS",36,Bannerghatta Road, Bangalore,98,983,1000
Dr. Jayaranganath M,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",34,Seshadripuram, Bangalore,91,22,740
Dr. K. S. S. Bhat,Cardiologist,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)",42,Old Airport Road, Bangalore,0,0,900
Dr. Raghavendra Chikkatur,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",22,Kengeri, Bangalore,88,24,700
Dr. Sunil Kumar S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology",18,Hebbal, Bangalore,100,44,1000
Dr. K P Srihari Das,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",28,Jayanagar 9 Block, Bangalore,98,61,750
Dr. Abhijit Vilas Kulkarni,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",20,Bannerghatta Road, Bangalore,97,32,1000
Dr. Venkatesh S,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",28,JP Nagar, Bangalore,97,35,950
Dr. C.M Nagesh,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",23,Bannerghatta Road, Bangalore,100,13,1000
Dr. Sanjay Bhat,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",15,Hebbal, Bangalore,83,54,900
Dr. Girish B Navasundi,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",24,Bannerghatta Road, Bangalore,86,28,1000
Dr. Venkatesh T K,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",36,Bannerghatta Road, Bangalore,0,0,1000
Dr. Ranjan Shetty,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",20,Old Airport Road, Bangalore,92,85,900
Dr. Vithal Bagi,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Bannerghatta Road, Bangalore,0,0,1000
Dr. Ravindranath Reddy D.R,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",16,Kengeri, Bangalore,100,34,800
Dr. Pradeep Kumar D,Cardiologist,"MD - Pediatrics, MBBS, DM - Cardiology",15,Hebbal, Bangalore,100,41,900
Dr. R.S. Venkatesulu,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Hebbal, Bangalore,67,12,900
Dr. Kumar Kenchappa,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Hebbal, Bangalore,98,63,1000
Dr. K B Prasad,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Bannerghatta Road, Bangalore,0,0,1000
Dr. S. S. Iyengar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP",53,Old Airport Road, Bangalore,0,0,900
Dr. Lakshmikanth P,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",16,Bannerghatta Road, Bangalore,0,0,1000
Dr. Ganesh Nallur Shivu,Cardiologist,"MBBS, PhD - Cardiology, MRCP (UK)",21,Electronics City, Bangalore,96,23,700
Dr. Gopi Aniyathodiyil,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",34,Cunningham Road, Bangalore,97,36,700
Dr. Devananda N.S,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",31,Old Airport Road, Bangalore,86,14,900
Dr. Anand Shenoy,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, FSCAI",22,Old Airport Road, Bangalore,64,39,900
Dr. Keshav R,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS",34,Cunningham Road, Bangalore,97,59,700
Dr. Ashwin M Daware,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",22,Whitefield, Bangalore,90,181,700
Dr. Sridhara N,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",26,Rajajinagar, Bangalore,94,50,630
Dr. G Vivek,Cardiologist,"DM - Cardiology, MD - General Medicine, DNB - General Medicine, MBBS",18,Vijayanagar, Bangalore,100,87,800
Dr. Sridhara G,Cardiologist,"MBBS, DM - Cardiology",25,Old Airport Road, Bangalore,90,21,900
Dr. Ramesh S S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",48,Malleswaram, Bangalore,0,0,500
Dr. Nagesh H E,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",26,Malleswaram, Bangalore,100,25,750
Dr. B.S. Chakrapani,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine",37,Old Airport Road, Bangalore,94,31,900
Dr. Karthik Vasudevan,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology",18,Yeshwanthpur, Bangalore,0,0,950
Dr. Lalchand Bandagi,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19,Old Airport Road, Bangalore,0,0,900
Dr. Vithal.D.Bagi,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",7,Bannerghatta Road, Bangalore,0,0,1000
Dr. Shashidhar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",32,Bannerghatta Road, Bangalore,85,13,900
Dr. Gnanadev N C,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",20,Kengeri, Bangalore,0,0,800
Dr. Chandan Saurav Mahapatro,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",7,Hebbal, Bangalore,0,0,1000
Dr. Srikanth K V,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",24,Hosur Road, Bangalore,97,89,1000
Dr. Nagaraj Desai,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",47,Cunningham Road, Bangalore,100,11,700
Dr. Vikram Kolhari,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Seshadripuram, Bangalore,0,0,740
Dr. Raghunandan,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",27,Malleswaram, Bangalore,100,28,750
Dr. P Ranganath Nayak,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine",22,Millers Road, Bangalore,100,18,1000
Dr. Yeriswamy M.C,Cardiologist,"DM - Cardiology, MBBS",17,Basavanagudi, Bangalore,0,0,300
Dr. Murali Krishna,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",23,Old Airport Road, Bangalore,0,0,900
Dr. P. Padmakumar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",45,Old Airport Road, Bangalore,83,24,900
Dr. Pavankumar Rasalkar,Cardiologist,"MD - Medicine, DM - Cardiology, MBBS",13,Rajajinagar, Bangalore,99,225,700
Dr. Arun B S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",10,Electronics City, Bangalore,0,0,700
Dr. Rangaraja,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",35,Cunningham Road, Bangalore,86,21,700
Dr. Anand Kumar M,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Nagasandra, Bangalore,100,18,600
Dr. Shilpa Jayaprakash,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",6,JP Nagar 7 Phase, Bangalore,0,0,800
Dr. Rahul Patil,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",13,Bannerghatta Road, Bangalore,0,0,850
Dr. Charit Bhograj,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS",20,Millers Road, Bangalore,92,13,1000
Dr. Praveen Kumar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",13,Bannerghatta Road, Bangalore,0,0,700
Dr. Divakar Bhat,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",32,JP Nagar, Bangalore,0,0,950
