,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
49,Dr. Prafull Warghane,"MBBS, Diploma in Tuberculosis Diseases (TDD)",19 Years Experience Overall  (18 years as specialist),Pulmonologist,"Wakad, Pune",Pune,94%,(36 votes),₹800
50,Dr. Yogesh Agrawal,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",19 Years Experience Overall  (15 years as specialist),Pulmonologist,"Wakad, Pune",Pune,77%,(81 votes),₹900
51,Dr. Manoj Pawar,"MBBS, DNB - Respiratory Medicine",6 Years Experience Overall,Pulmonologist,"Kharadi, Pune",Pune,0,0,₹600
52,Dr. Ashok  Rajput,"MD - Tuberculosis & Respiratory Diseases/Medicine, MD - General Medicine, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",45 Years Experience Overall  (41 years as specialist),Pulmonologist,"Vasant Kunj, Delhi",Delhi,95%,(563 votes),₹1200
53,Dr. Kailash Nath Gupta,"MD - Physician, DNB - Respiratory Diseases",27 Years Experience Overall  (17 years as specialist),Pulmonologist,"Dwarka, Delhi",Delhi,94%,(608 votes),₹800
54,Dr. Anuj Gupta,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",23 Years Experience Overall  (20 years as specialist),Pulmonologist,"Munirka, Delhi",Delhi,97%,(1069 votes),₹1250
55,Dr. Santosh Jha,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",11 Years Experience Overall  (9 years as specialist),Pulmonologist,"Malviya Nagar, Delhi",Delhi,99%,(205 votes),₹1000
56,Dr. Anil Kumar Jain,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), Diploma in Child Health (DCH)",34 Years Experience Overall  (32 years as specialist),Pulmonologist,"Vishwas Nagar, Delhi",Delhi,90%,(39 votes),₹1000
57,Dr. Vikas Mittal,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",21 Years Experience Overall  (16 years as specialist),Pulmonologist,"Shalimar Bagh, Delhi",Delhi,96%,(107 votes),₹800
58,Dr. Ashish Jain,"MD - Tuberculosis and Chest Diseases, MBBS",22 Years Experience Overall  (21 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,91%,(70 votes),₹1200
59,Dr. Prashant Saxena,"MBBS, MD - TB & Chest",22 Years Experience Overall  (18 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,81%,(32 votes),₹1400
60,Dr. M.S. Kanwar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",48 Years Experience Overall  (43 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
61,Dr. Raj Kumar,"MD - Tuberculosis and Chest Diseases, MBBS",21 Years Experience Overall  (18 years as specialist),Pulmonologist,"Vasant Kunj, Delhi",Delhi,93%,(40 votes),₹1000
62,Dr. Sandeep Nayar,"MBBS, MD - TB & Chest",31 Years Experience Overall  (25 years as specialist),Pulmonologist,"Pusa Road, Delhi",Delhi,60%,(25 votes),₹1500
63,Dr. Deepak Srivastava,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",35 Years Experience Overall  (32 years as specialist),Pulmonologist,"Kamla Nagar, Delhi",Delhi,0,0,₹500
64,Dr. Vivek Nangia,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",28 Years Experience Overall  (26 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,71%,(24 votes),₹1700
65,Dr. Karn Mehra,"MBBS, DNB - Respiratory Diseases",13 Years Experience Overall  (7 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,100%,(31 votes),₹700
66,Dr. Pawan Gupta,"MBBS, MD - Tuberculosis and Chest Diseases, DM - Pulmonary Medicine",19 Years Experience Overall  (14 years as specialist),Pulmonologist,"Prashant Vihar, Delhi",Delhi,90%,(21 votes),₹700
67,Dr. Puneet Khanna,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",21 Years Experience Overall  (18 years as specialist),Pulmonologist,"Dwarka Sector 6, Delhi",Delhi,97%,(32 votes),₹1100
68,Dr. Chetan Kumar Gupta,"MBBS, MD - Tuberculosis and Chest Diseases",23 Years Experience Overall  (19 years as specialist),Pulmonologist,"Chattarpur, Delhi",Delhi,58%,(19 votes),₹800
69,Dr. Sumedha Narula,"MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine, MBBS",9 Years Experience Overall  (7 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,100%,(22 votes),₹1000
70,Dr. Praveen Kumar Pandey,"MD - Tuberculosis & Respiratory Diseases/Medicine, MBBS",25 Years Experience Overall  (21 years as specialist),Pulmonologist,"Patparganj, Delhi",Delhi,80%,(15 votes),₹1200
71,Dr. Davinder Kundra,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",16 Years Experience Overall  (8 years as specialist),Pulmonologist,"Dwarka Sector 6, Delhi",Delhi,80%,(15 votes),₹1100
72,Dr. Ritu Malani,"MBBS, DNB - Respiratory Diseases",22 Years Experience Overall  (16 years as specialist),Pulmonologist,"Panchsheel Park, Delhi",Delhi,0,0,₹1100
73,Dr. Ajay Lall,"MBBS, MD - Pulmonary Medicine",36 Years Experience Overall,Pulmonologist,"Panchsheel Park, Delhi",Delhi,0,0,₹2000
74,Dr. Deepak Rosha,"MBBS, MD - Medicine, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",30 Years Experience Overall  (28 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
75,Dr. Susheel Kumar Bindroo,"MBBS, MD - Pulmonary Medicine",18 Years Experience Overall  (17 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,92%,(13 votes),₹1500
76,Dr. Avi Kumar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",17 Years Experience Overall  (13 years as specialist),Pulmonologist,"Okhla, Delhi",Delhi,94%,(16 votes),₹1300
77,Dr. Inder Mohan Chugh,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",30 Years Experience Overall  (23 years as specialist),Pulmonologist,"Shalimar Bagh, Delhi",Delhi,0,0,₹2000
78,Dr. Rajesh K Chawla,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",41 Years Experience Overall  (37 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
79,Dr. Dixit Kumar Thakur,"MBBS, DNB - Pulmonary Medicine",9 Years Experience Overall  (6 years as specialist),Pulmonologist,"Friends Colony West, Delhi",Delhi,100%,(13 votes),₹1000
80,Dr. R.S Chatterjee,"MBBS, MD - General Medicine, DNB - Respiratory Diseases, MD - Tuberculosis & Respiratory Diseases/Medicine",42 Years Experience Overall  (34 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,0,0,₹1200
81,Dr. Abhinav Bhanot,"MBBS, DNB - Respiratory Diseases",11 Years Experience Overall  (5 years as specialist),Pulmonologist,"Nirman Vihar, Delhi",Delhi,0,0,₹900
82,Dr. Vipin Aggarwal,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",8 Years Experience Overall  (4 years as specialist),Pulmonologist,"Ansari Nagar, Delhi",Delhi,0,0,₹800
83,Dr. Nikhil Modi,"MBBS, MD - Pulmonary Medicine",12 Years Experience Overall,Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
84,Dr. Sanjay Sobti,"MBBS, DNB - Respiratory Diseases, MD - General Medicine",26 Years Experience Overall,Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
85,Dr. Viny Kantroo,"MBBS, DNB - Respiratory Diseases",12 Years Experience Overall  (11 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
86,Dr. Kunj Panwar,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",8 Years Experience Overall  (3 years as specialist),Pulmonologist,"Rohini Sector 11, Delhi",Delhi,0,0,₹700
87,Dr. Priyanka Ch Bindroo,"Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",19 Years Experience Overall  (16 years as specialist),Pulmonologist,"Uttam Nagar, Delhi",Delhi,0,0,₹1000
88,Dr. Priyanka Aggarwal,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall,Pulmonologist,"Patparganj, Delhi",Delhi,0,0,₹1000
89,Dr. Pankaj Lohia,"MBBS, MD - Tuberculosis and Chest Diseases",24 Years Experience Overall  (19 years as specialist),Pulmonologist,"Pusa Road, Delhi",Delhi,0,0,₹1100
90,Dr. Amit Kumar,"DNB - Pulmonary Medicine, MBBS",5 Years Experience Overall,Pulmonologist,"Model Town 3, Delhi",Delhi,0,0,₹800
91,Dr. Tarun Sharma,"MD - Physician, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",16 Years Experience Overall  (6 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,0,0,₹800
92,Dr. Loveleen Mangla,"MBBS, DNB - Respiratory Diseases",13 Years Experience Overall  (8 years as specialist),Pulmonologist,"Preet Vihar, Delhi",Delhi,0,0,₹800
93,Dr. Sunny Kalra,"MBBS, DNB - Respiratory Diseases",17 Years Experience Overall  (11 years as specialist),Pulmonologist,"Pusa Road, Delhi",Delhi,0,0,₹1300
94,Dr. Supreet Batra,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",14 Years Experience Overall  (10 years as specialist),Pulmonologist,"Bhogal, Delhi",Delhi,0,0,₹1500
95,Dr. A.R Balamurugan,"MD - General Medicine, MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",15 Years Experience Overall  (12 years as specialist),Pulmonologist,"Kolathur, Chennai",Chennai,98%,(41 votes),₹400
96,Dr. M. Sathish Kumar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",11 Years Experience Overall  (7 years as specialist),Pulmonologist,"Velachery, Chennai",Chennai,97%,(64 votes),₹600
97,Dr. Hemalatha,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, Diploma in Child Health (DCH)",20 Years Experience Overall  (9 years as specialist),Pulmonologist,"Perumbakkam, Chennai",Chennai,0,0,₹500
98,Dr. Prasanth G,"MBBS, MD - Respiratory Medicine",5 Years Experience Overall  (2 years as specialist),Pulmonologist,"Poonamalle, Chennai",Chennai,0,0,₹500
99,Dr. M. Manimaran,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",21 Years Experience Overall,Pulmonologist,"Manapakkam, Chennai",Chennai,96%,(27 votes),₹800
100,Dr. Arun Sampath,"MBBS, MD - Pulmonary Medicine, DNB - Respiratory Diseases",19 Years Experience Overall  (15 years as specialist),Pulmonologist,"Manapakkam, Chennai",Chennai,83%,(12 votes),₹800
101,Dr. Vadivelu Sreenivasan,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",23 Years Experience Overall  (19 years as specialist),Pulmonologist,"Perumbakkam, Chennai",Chennai,100%,(12 votes),₹700
102,Dr. Devanathan,"MBBS, MD - Respiratory Medicine",8 Years Experience Overall  (2 years as specialist),Pulmonologist,"Velachery, Chennai",Chennai,0,0,₹600
103,Dr. Aishwarya Rajkumar,"MBBS, MD - Pulmonary Medicine",11 Years Experience Overall  (6 years as specialist),Pulmonologist,"Alwarpet, Chennai",Chennai,0,0,₹600
104,Dr. Suresh Sagadevan,"MBBS, MD - Respiratory Medicine",10 Years Experience Overall  (5 years as specialist),Pulmonologist,"Perumbakkam, Chennai",Chennai,0,0,₹600
105,Dr. G.Thilagavathy,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - Tuberculosis & Respiratory Diseases/Medicine",30 Years Experience Overall  (24 years as specialist),Pulmonologist,"T Nagar, Chennai",Chennai,94%,(35 votes),₹700
106,Dr. Narasimhan R,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",40 Years Experience Overall  (38 years as specialist),Pulmonologist,"Greams Road, Chennai",Chennai,95%,(20 votes),₹1500
107,Dr. Rajkumar Kulasekaran,"MBBS, DNB - Respiratory Diseases",17 Years Experience Overall  (12 years as specialist),Pulmonologist,"Adyar, Chennai",Chennai,94%,(32 votes),₹800
108,Dr. Ammaiyappan Palaniswamy Chockalingam,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - Tuberculosis & Respiratory Diseases/Medicine",25 Years Experience Overall  (20 years as specialist),Pulmonologist,"Adyar, Chennai",Chennai,100%,(158 votes),₹800
109,Dr. Ghanshyam Verma,"MBBS, DNB - Respiratory Diseases",17 Years Experience Overall  (11 years as specialist),Pulmonologist,"Vanagaram, Chennai",Chennai,0,0,₹800
110,Dr. S Balamurugan,"MBBS, DNB - Respiratory Diseases",25 Years Experience Overall  (17 years as specialist),Pulmonologist,"Valasaravakkam, Chennai",Chennai,100%,(45 votes),₹650
111,Dr. Meghena Mathew,"MBBS, DNB - Pulmonary Medicine",12 Years Experience Overall  (6 years as specialist),Pulmonologist,"Kilpauk, Chennai",Chennai,0,0,₹500
112,Dr. S. Jayaraman,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",30 Years Experience Overall  (22 years as specialist),Pulmonologist,"Anna Nagar, Chennai",Chennai,76%,(45 votes),₹1000
113,Dr. Vinod Kumar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",23 Years Experience Overall  (16 years as specialist),Pulmonologist,"Kilpauk, Chennai",Chennai,0,0,₹1000
114,Dr. Lakshmi Varadarajalu,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine), Diplomate in Pulmonary Diseases (American Board of Internal Medicine), Diplomate in Critical Care Medicine (American Board of Internal Medicine)",24 Years Experience Overall  (16 years as specialist),Pulmonologist,"Greams Road, Chennai",Chennai,0,0,₹1000
115,Dr. Jayashree Narasimhan,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine), Diplomate in Pulmonary Diseases (American Board of Internal Medicine), Diplomate in Critical Care Medicine (American Board of Internal Medicine)",29 Years Experience Overall  (23 years as specialist),Pulmonologist,"Teynampet, Chennai",Chennai,0,0,₹1000
116,Dr. Gomathi R G,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",6 Years Experience Overall,Pulmonologist,"Kilpauk, Chennai",Chennai,0,0,₹700
117,Dr. Gayathri A R,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",26 Years Experience Overall  (22 years as specialist),Pulmonologist,"Greams Road, Chennai",Chennai,0,0,₹1500
118,Dr. Babu K Abraham,"MBBS, MD - Pulmonary Medicine",33 Years Experience Overall  (27 years as specialist),Pulmonologist,"Greams Road, Chennai",Chennai,0,0,₹1000
119,Dr. Ilangho,"MBBS, MD - General Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",36 Years Experience Overall  (32 years as specialist),Pulmonologist,"Greams Road, Chennai",Chennai,0,0,₹1500
120,Dr. Rajkumar,"MBBS, DNB - Respiratory Diseases",17 Years Experience Overall  (12 years as specialist),Pulmonologist,"OMR Road, Chennai",Chennai,0,0,₹700
121,Dr. Soumitra Sinha Roy,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - General Medicine, MRCP (UK)",28 Years Experience Overall  (25 years as specialist),Pulmonologist,"Aminjikarai, Chennai",Chennai,0,0,₹1000
122,Dr. Sindhura Koganti,"MBBS, MD - Pulmonary Medicine",11 Years Experience Overall  (7 years as specialist),Pulmonologist,"Vadapalani, Chennai",Chennai,0,0,₹500
123,Dr. Jeenam Shah,"MBBS, MD - Pulmonary Medicine, DAA - Diploma in Allergy Asthma and Immunology, DNB - Pulmonary Medicine",11 Years Experience Overall  (7 years as specialist),Pulmonologist,"Gamdevi, Mumbai",Mumbai,95%,(39 votes),₹2000
124,Dr. Avya Bansal,"MBBS, MD - Respiratory Medicine, DNB - Respiratory Diseases",8 Years Experience Overall  (4 years as specialist),Pulmonologist,"Khar West, Mumbai",Mumbai,100%,(106 votes),₹1500
125,Dr. Indu Bubna,"MD - Physician, Diploma in Tuberculosis Diseases (TDD)",20 Years Experience Overall  (15 years as specialist),Pulmonologist,"Malad West, Mumbai",Mumbai,98%,(611 votes),₹1500
126,Dr. Harshil Shah,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",5 Years Experience Overall  (2 years as specialist),Pulmonologist,"Kandivali West, Mumbai",Mumbai,80%,(15 votes),₹1500
127,Dr. Prabodh Garg,"MBBS, MD - Respiratory Medicine",7 Years Experience Overall  (4 years as specialist),Pulmonologist,"Kandivali West, Mumbai",Mumbai,0,0,₹1000
128,Dr. Ravindra U Rupawate,"MBBS, DNB - Pulmonary Medicine",39 Years Experience Overall  (35 years as specialist),Pulmonologist,"Mulund West, Mumbai",Mumbai,59%,(27 votes),₹2000
