,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
76,Dr. Mohan Kumar H N,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (8 years as specialist),Cardiologist,"Sarjapur Road, Bangalore",Bangalore,0,0,₹900
77,Dr. Sandesh Prabhu,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (9 years as specialist),Cardiologist,"Kaggadasapura, Bangalore",Bangalore,99%,(83 votes),₹600
78,Dr. Mallesh Kariyappa,"DM - Cardiology, MD - Pediatrics, MBBS",25 Years Experience Overall  (9 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",Bangalore,0,0,₹500
79,Dr. Dibyendu Majumdar,"MBBS, Diploma in Cardiology",22 Years Experience Overall,Cardiologist,"Sarjapur Road, Bangalore",Bangalore,64%,(25 votes),₹750
80,Dr. Satish L,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall  (6 years as specialist),Cardiologist,"Yeshwanthpur, Bangalore",Bangalore,98%,(83 votes),₹700
81,Dr. K H Srinivas,"MBBS, MD - General Medicine, DM - Cardiology",33 Years Experience Overall  (25 years as specialist),Cardiologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹740
82,Dr. Girish Godbole,"MBBS, DNB - General Medicine, MRCP (UK), DNB - Cardiology",28 Years Experience Overall  (19 years as specialist),Cardiologist,"Millers Road, Bangalore",Bangalore,94%,(16 votes),₹1000
83,Dr. Sathwik Raj V A,"MBBS, MD - General Medicine, DM - Cardiology",10 Years Experience Overall  (4 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",Bangalore,0,0,₹850
84,Dr. Vikranth Veeranna,"MBBS, MD - General Medicine, DM - Cardiology",20 Years Experience Overall  (16 years as specialist),Cardiologist,"Rajarajeshwarinagar, Bangalore",Bangalore,100%,(12 votes),₹800
85,Dr. Sunil Dwivedi,"MBBS, MD - General Medicine, Diploma in Cardiology",20 Years Experience Overall  (19 years as specialist),Cardiologist,"Millers Road, Bangalore",Bangalore,92%,(13 votes),₹1000
86,Dr. Rockey Katheria,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall  (3 years as specialist),Cardiologist,"Bellandur, Bangalore",Bangalore,0,0,₹650
87,Dr. Naveen.A.J,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (8 years as specialist),Cardiologist,"Vasanthnagar, Bangalore",Bangalore,0,0,₹700
88,Dr. Sudeep K N,"MBBS, MD - General Medicine, DM - Cardiology",12 Years Experience Overall  (8 years as specialist),Cardiologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹500
89,Dr. Divya Marina Fernandes,"MBBS, MD - General Medicine, DNB - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"JP Nagar, Bangalore",Bangalore,0,0,₹950
90,Dr. Ameet Oswal,"MBBS, MD - General Medicine, DNB - Cardiology",10 Years Experience Overall  (3 years as specialist),Cardiologist,"Sampangiramnagar, Bangalore",Bangalore,0,0,₹700
91,Dr. Praneeth SuryaDevara,"MBBS, MD - General Medicine, DM - Cardiology",11 Years Experience Overall  (2 years as specialist),Cardiologist,"Kumaraswamy Layout, Bangalore",Bangalore,0,0,₹550
92,Dr. Santosh V Chikkodi,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology",9 Years Experience Overall  (3 years as specialist),Cardiologist,"Sampangiramnagar, Bangalore",Bangalore,0,0,₹800
93,Dr. Prashant Ramdas Wankhade,"MBBS, MD - General Medicine, DNB - Cardiology",4 Years Experience Overall,Cardiologist,"Kundalahalli, Bangalore",Bangalore,0,0,₹800
94,Dr. Jagadeesh H V,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall  (2 years as specialist),Cardiologist,"Mahadevapura, Bangalore",Bangalore,0,0,₹800
95,Dr. Abhay Somani,"MBBS, DNB - Cardiology, DNB - General Medicine, MD - General Medicine",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Kothrud, Pune",Pune,90%,(92 votes),₹800
96,Dr. Dnyanesh Gaware,"MBBS, MD - General Medicine, DNB - Cardiology",37 Years Experience Overall  (11 years as specialist),Cardiologist,"Kalyani Nagar, Pune",Pune,95%,(156 votes),₹1000
97,Dr. Abhijeet Joshi,"MBBS, MD - General Medicine, DNB - Cardiology",32 Years Experience Overall  (19 years as specialist),Cardiologist,"Shivajinagar, Pune",Pune,99%,(533 votes),₹1000
98,Dr. Abhay Khode,"MBBS, MD - Medicine, DNB - Cardiology",27 Years Experience Overall  (11 years as specialist),Cardiologist,"Baner, Pune",Pune,97%,(64 votes),₹800
99,Dr. Manohar Sakhare,"MBBS, DM - Cardiology, MD - General Medicine",25 Years Experience Overall  (17 years as specialist),Cardiologist,"Viman Nagar, Pune",Pune,96%,(103 votes),₹1000
100,Dr. Sandeep J Kadam,"DNB - Cardiology, DNB - General Medicine, MBBS",15 Years Experience Overall  (5 years as specialist),Cardiologist,"Baner, Pune",Pune,97%,(62 votes),₹900
101,Dr. Kartik Bhosale,"DM - Cardiology, MBBS, MD - General Medicine",9 Years Experience Overall  (2 years as specialist),Cardiologist,"Wakad, Pune",Pune,0,0,₹700
102,Dr. Kanhaiya Jeswani,"MBBS, MD - General Medicine, DNB - Cardiology",25 Years Experience Overall  (12 years as specialist),Cardiologist,"Hadapsar, Pune",Pune,100%,(27 votes),₹600
103,Dr. Sachin Hundekari,"MBBS, MD - General Medicine, DNB - Cardiology",22 Years Experience Overall  (12 years as specialist),Cardiologist,"Wakad, Pune",Pune,90%,(67 votes),₹700
104,Dr. Varun Nivargi,"MBBS, DNB - General Medicine, DNB - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Kothrud, Pune",Pune,0,0,₹700
105,Dr. Yuvaraj Bhosale,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (8 years as specialist),Cardiologist,"Baner, Pune",Pune,0,0,₹700
106,Dr. Suraj Subhash Ingole,"MBBS, DNB - General Medicine, DNB - Cardiology",14 Years Experience Overall  (3 years as specialist),Cardiologist,"Kharadi, Pune",Pune,0,0,₹750
107,Dr. Pramod Narkhede,"DNB - General Medicine, MBBS, DNB - Cardiology",18 Years Experience Overall  (7 years as specialist),Cardiologist,"Viman Nagar, Pune",Pune,93%,(15 votes),₹700
108,Dr. Sandeep Tadas,"MCh - Cardio Thoracic and Vascular Surgery, MS - General Surgery, MBBS",28 Years Experience Overall  (21 years as specialist),Cardiologist,"Deccan Gymkhana, Pune",Pune,0,0,₹1000
109,Dr. Bhushan Bari,"MBBS, DNB - General Medicine, DNB - Cardiology",19 Years Experience Overall  (4 years as specialist),Cardiologist,"Wanowrie, Pune",Pune,0,0,₹700
110,Dr. Ajitkumar Jadhav,"DNB - Cardiology, MD - General Medicine, MBBS",14 Years Experience Overall  (6 years as specialist),Cardiologist,"Pimple Saudagar, Pune",Pune,88%,(26 votes),₹700
111,Dr. Priya Palimkar,"MBBS, MD - Medicine, DNB - Cardiology",25 Years Experience Overall  (15 years as specialist),Cardiologist,"Nagar Road, Pune",Pune,94%,(585 votes),₹1000
112,Dr. Ashish Dolas,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19 Years Experience Overall  (9 years as specialist),Cardiologist,"Pimpri-Chinchwad, Pune",Pune,0,0,₹650
113,Dr. Jagjeet Deshmukh,"DM - Cardiology, MBBS",12 Years Experience Overall  (10 years as specialist),Cardiologist,"Hadapsar, Pune",Pune,0,0,₹700
114,Dr. Abhijit Khadtare,"MBBS, MD - General Medicine, DNB - Cardiology",10 Years Experience Overall  (6 years as specialist),Cardiologist,"Kharadi, Pune",Pune,0,0,₹750
115,Dr. Vikas Chopra,"MBBS, DM - Cardiology",26 Years Experience Overall,Cardiologist,"Green Park, Delhi",Delhi,90%,(41 votes),₹750
116,Dr. Rajesh Madan,"MBBS, MD - General Medicine, DNB - Cardiology, Fellowship In Interventional  Cardiology",17 Years Experience Overall  (16 years as specialist),Cardiologist,"Dwarka, Delhi",Delhi,88%,(176 votes),₹700
117,Dr. Ajay Aggarwal,"MBBS, MD - Medicine, DM - Cardiology",21 Years Experience Overall  (11 years as specialist),Cardiologist,"Ashok Vihar, Delhi",Delhi,88%,(33 votes),₹800
118,Dr. Rajeev Kumar Rajput,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (28 years as specialist),Cardiologist,"New Friends Colony, Delhi",Delhi,80%,(20 votes),₹1500
119,Dr. Rajni Sharma,"MBBS, MD - Medicine, DM - Cardiology, FACC",20 Years Experience Overall  (8 years as specialist),Cardiologist,"Patel Nagar, Delhi",Delhi,86%,(14 votes),₹1200
120,Dr. Bipin Dubey,"MBBS, MD - Medicine, DM - Cardiology",36 Years Experience Overall  (23 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",Delhi,83%,(24 votes),₹1100
121,Dr. S S Murthy,"MBBS, DNB - General Medicine, DNB - Cardiology",25 Years Experience Overall  (10 years as specialist),Cardiologist,"Dwarka Sector 12, Delhi",Delhi,0,0,₹1200
122,Dr. Rajendra Kumar Agarwal,"MBBS, MD - General Medicine, DNB - Cardiology, FNB - Interventional  Cardiology",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Panchsheel Park, Delhi",Delhi,0,0,₹1000
123,Dr. Samanjoy Mukherjee,"MBBS, MD - General Medicine, DM - Cardiology",31 Years Experience Overall  (21 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",Delhi,0,0,₹1100
124,Dr. Sarita Gulati,"MBBS, DM - Cardiology",30 Years Experience Overall  (21 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",Delhi,37%,(19 votes),₹1100
125,Dr. Devendra Kumar Agrawal,"MBBS, MD - General Medicine, DM - Cardiology",14 Years Experience Overall  (10 years as specialist),Cardiologist,"Shalimar Bagh, Delhi",Delhi,0,0,₹1000
126,Dr. Sameer Mehrotra,"MBBS, DM - Cardiology, MD - General Medicine",22 Years Experience Overall  (12 years as specialist),Cardiologist,"Pusa Road, Delhi",Delhi,98%,(40 votes),₹1500
127,Dr. Neeraj Bhalla,"MBBS, MD - Medicine, DM - Cardiology, FACC",39 Years Experience Overall  (26 years as specialist),Cardiologist,"Pusa Road, Delhi",Delhi,95%,(21 votes),₹1800
128,Dr. Nityanand Tripathi,"MBBS, DNB - General Medicine, DM - Cardiology",30 Years Experience Overall  (22 years as specialist),Cardiologist,"Shalimar Bagh, Delhi",Delhi,87%,(38 votes),₹1200
129,Dr. S K Gupta,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",39 Years Experience Overall,Cardiologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1400
130,Dr. Ranjan Kachru,"MBBS, MD - General Medicine, DNB - Cardiology",39 Years Experience Overall  (20 years as specialist),Cardiologist,"Vasant Kunj, Delhi",Delhi,96%,(24 votes),₹1000
131,Dr. Amit Mittal,"MD - Medicine, DM - Cardiology, MBBS",23 Years Experience Overall  (13 years as specialist),Cardiologist,"Sarita Vihar, Delhi",Delhi,99%,(146 votes),₹2500
132,Dr. Tapan Ghose,"MBBS, MD - Medicine, DNB - Cardiology, DNB - General Medicine, FNB - Interventional  Cardiology",33 Years Experience Overall  (20 years as specialist),Cardiologist,"Vasant Kunj, Delhi",Delhi,82%,(11 votes),₹1200
133,Dr. Saket Bhardwaj,"MBBS, MD - Medicine, DM - Cardiology",37 Years Experience Overall  (26 years as specialist),Cardiologist,"Pusa Road, Delhi",Delhi,94%,(36 votes),₹1500
134,Dr. Pradeep Jain,"MBBS, DM - Cardiology, MD - General Medicine",39 Years Experience Overall  (30 years as specialist),Cardiologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
135,Dr. Subhash Chandra,"MBBS, MD - General Medicine, DNB - Cardiology, DM - Cardiology",38 Years Experience Overall  (31 years as specialist),Cardiologist,"Pusa Road, Delhi",Delhi,0,0,₹2000
136,Dr. V Hariharan,"MBBS, MD - Medicine, DM - Cardiology",51 Years Experience Overall  (36 years as specialist),Cardiologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2500
137,Dr. Ashish Agarwal,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (9 years as specialist),Cardiologist,"Dwarka, Delhi",Delhi,98%,(436 votes),₹700
138,Dr. Naresh Kumar Goyal,"MBBS, MD - Medicine, DM - Cardiology",19 Years Experience Overall,Cardiologist,"Shalimar Bagh, Delhi",Delhi,100%,(13 votes),₹1800
