,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
39,Dr. Padmasri V,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",27 Years Experience Overall,Gynecologist,"VV Puram, Bangalore",Bangalore,89%,(37 votes),₹600
40,Dr. Trupti Jadhavar,"MBBS, DGO",14 Years Experience Overall  (7 years as specialist),Gynecologist,"Rajgurunagar, Pune",Pune,0,0,₹300
41,Dr. Sushma Dikhit,"MBBS, MS - Obstetrics & Gynaecology, MRCOG(UK)",41 Years Experience Overall  (37 years as specialist),Gynecologist,"Patparganj, Delhi",Delhi,63%,(41 votes),₹1100
42,Dr. Modhulika Bhattacharya,"MBBS, MD - Obstetrics & Gynaecology",22 Years Experience Overall  (15 years as specialist),Gynecologist,"Old Airport Road, Bangalore",Bangalore,98%,(476 votes),₹850
43,Dr. Charushilla Palwde,"MBBS, MS - Obstetrics & Gynaecology",14 Years Experience Overall  (10 years as specialist),Gynecologist,"Baner, Pune",Pune,100%,(37 votes),₹500
44,Dr. Prerna Gupta,"MD - Obstetrics & Gynaecology, MRCOG(UK), MBBS, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (13 years as specialist),Gynecologist,"Hauz Khas, Delhi",Delhi,98%,(283 votes),₹1500
45,Dr. Rushabh Karnawat,"MBBS, DGO",12 Years Experience Overall  (11 years as specialist),Gynecologist,"Pashan, Pune",Pune,98%,(56 votes),₹350
46,Dr. Miral Patel,"DNB - Obstetrics & Gynecology, MBBS, DGO",14 Years Experience Overall  (11 years as specialist),Gynecologist,"Borivali West, Mumbai",Mumbai,100%,(17 votes),₹99
47,Dr. Prasad Deshmukh,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (8 years as specialist),Gynecologist,"Bandra East, Mumbai",Mumbai,0,0,₹1000
48,Dr. Garima Jain,"MBBS, DNB - Obstetrics & Gynecology",25 Years Experience Overall  (19 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,95%,(137 votes),₹800
49,Dr. Shelly Arora,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, MRCOG(UK)",14 Years Experience Overall  (11 years as specialist),Gynecologist,"Punjabi Bagh, Delhi",Delhi,0,0,₹800
50,Dr. T. Anuradha,"MBBS, DGO",31 Years Experience Overall,Gynecologist,"KPHB, Hyderabad",Hyderabad,100%,(25 votes),₹700
51,Dr. Patel Sana Fathima,"MBBS, DGO",12 Years Experience Overall,Gynecologist,"Mehdipatnam, Hyderabad",Hyderabad,0,0,₹450
52,Dr. Parimalam Ramanathan,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, CCT - OBG, MRCOG(UK), Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",28 Years Experience Overall  (24 years as specialist),Gynecologist,"OMR Road, Chennai",Chennai,98%,(523 votes),₹700
53,Dr. Saraswathy Gokulraj,"MBBS, DGO",31 Years Experience Overall  (25 years as specialist),Gynecologist,"Manapakkam, Chennai",Chennai,94%,(18 votes),₹800
54,Dr. Nanthini Deepak,"MBBS, MD - Obstetrics & Gynaecology",6 Years Experience Overall,Gynecologist,"Besant Nagar, Chennai",Chennai,0,0,₹300
55,Dr. Chaitra Nayak,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",20 Years Experience Overall  (13 years as specialist),Gynecologist,"Jayanagar, Bangalore",Bangalore,96%,(77 votes),₹850
56,Dr. Garima Goel,"MBBS, MS - Obstetrics & Gynaecology",19 Years Experience Overall  (13 years as specialist),Gynecologist,"Safdarjung Enclave, Delhi",Delhi,0,0,₹800
57,Dr. Puja Rathi,"MBBS, DGO, DNB - Obstetrics & Gynecology",21 Years Experience Overall  (16 years as specialist),Gynecologist,"Bellandur, Bangalore",Bangalore,95%,(240 votes),₹850
58,Dr. Mamatha Reddy Y V,"MBBS, MS - Obstetrics & Gynaecology",25 Years Experience Overall  (20 years as specialist),Gynecologist,"Koramangala 1 Block, Bangalore",Bangalore,95%,(504 votes),₹800
59,Dr. Saba Fathima,"MBBS, DGO",14 Years Experience Overall  (13 years as specialist),Gynecologist,"HRBR Layout, Bangalore",Bangalore,90%,(70 votes),₹850
60,Dr. Gauri Agarwal,"MBBS, DNB - Obstetrics & Gynecology",16 Years Experience Overall  (11 years as specialist),Gynecologist,"Malviya Nagar, Delhi",Delhi,0,0,₹600
61,Dr. Tejashree Bhor,"MBBS, DGO",13 Years Experience Overall  (8 years as specialist),Gynecologist,"Kalyani Nagar, Pune",Pune,73%,(15 votes),₹450
62,Dr. G Buvaneswari,"MBBS, DGO, DNB - Obstetrics & Gynecology",27 Years Experience Overall  (19 years as specialist),Gynecologist,"Chromepet, Chennai",Chennai,67%,(12 votes),₹600
63,Dr. Rekha Prashanth,"MBBS, MD - Obstetrics & Gynaecology",28 Years Experience Overall  (22 years as specialist),Gynecologist,"BTM Layout 1st Stage, Bangalore",Bangalore,90%,(221 votes),₹600
64,Dr. Diny P. Baby,"MBBS, MD - Obstetrics & Gynaecology",14 Years Experience Overall  (1 year as specialist),Gynecologist,"Kammana Halli, Bangalore",Bangalore,0,0,₹500
65,Dr. Saurabh Dani,"FCPS - Mid. & Gynae, MBBS, DGO",22 Years Experience Overall  (20 years as specialist),Gynecologist,"Malad West, Mumbai",Mumbai,100%,(27 votes),₹1000
66,Dr. Kiranjeet Kaur,"DNB - Obstetrics & Gynecology, DGO, MNAMS - Obstetrics & Gynaecology, MBBS",25 Years Experience Overall  (21 years as specialist),Gynecologist,"Saket, Delhi",Delhi,95%,(62 votes),₹1000
67,Dr. Shashikala K.T,"MBBS, DGO, Fellowship in Reproductive Medicine",14 Years Experience Overall  (13 years as specialist),Gynecologist,"Kammana Halli, Bangalore",Bangalore,93%,(15 votes),₹650
68,Dr. Anuprabha Karthik,"MBBS, DGO",14 Years Experience Overall  (10 years as specialist),Gynecologist,"RT Nagar, Bangalore",Bangalore,100%,(81 votes),₹400
69,Dr. Amol Lunkad,"MBBS, MD - Obstetrics & Gynaecology",17 Years Experience Overall  (11 years as specialist),Gynecologist,"Viman Nagar, Pune",Pune,0,0,0
70,Dr. Vandana Hegde,"MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine, MBBS",19 Years Experience Overall  (15 years as specialist),Gynecologist,"Hitech City, Hyderabad",Hyderabad,93%,(2083 votes),₹800
71,Dr. Jeya Nirmala R,"MBBS, MD - Obstetrics & Gynaecology",22 Years Experience Overall  (13 years as specialist),Gynecologist,"Arumbakkam, Chennai",Chennai,94%,(34 votes),₹500
72,Dr. P. Surya,"MBBS, DGO",14 Years Experience Overall  (9 years as specialist),Gynecologist,"OMR Road, Chennai",Chennai,0,0,₹600
73,Dr. Shreedevi Tanksale,"DGO, DNB - Obstetrics & Gynecology, MBBS",14 Years Experience Overall  (8 years as specialist),Gynecologist,"Vileparle East, Mumbai",Mumbai,99%,(162 votes),₹1000
74,Dr. Shweta Pandya,"MBBS, DGO, DNB - Obstetrics & Gynecology",12 Years Experience Overall  (7 years as specialist),Gynecologist,"Wakad, Pune",Pune,0,0,₹400
75,Dr. Mohita Goyal,"MBBS, DGO",22 Years Experience Overall  (19 years as specialist),Gynecologist,"Viman Nagar, Pune",Pune,95%,(900 votes),₹600
76,Dr. Afshan,"MBBS, MS - Obstetrics & Gynaecology",18 Years Experience Overall  (12 years as specialist),Gynecologist,"Hadapsar, Pune",Pune,100%,(19 votes),₹500
77,Dr. Amodita Ahuja,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",9 Years Experience Overall  (6 years as specialist),Gynecologist,"Malviya Nagar, Delhi",Delhi,92%,(13 votes),₹500
78,Dr. Madhulika Singh,"MBBS, MS - Obstetrics & Gynaecology",23 Years Experience Overall  (18 years as specialist),Gynecologist,"Wakad, Pune",Pune,100%,(26 votes),₹750
79,Dr. Kishori Dinendra Kadam,"MBBS, DGO, MD - Obstetrics & Gynaecology",38 Years Experience Overall  (36 years as specialist),Gynecologist,"Mulund West, Mumbai",Mumbai,90%,(67 votes),₹1300
80,Dr. Kalpana Aggrawal,"MBBS, MS - Obstetrics & Gynaecology",19 Years Experience Overall  (14 years as specialist),Gynecologist,"Dwarka, Delhi",Delhi,91%,(547 votes),₹500
81,Dr. Jnanashree B R,"MS - Obstetrics & Gynaecology, MBBS",19 Years Experience Overall  (16 years as specialist),Gynecologist,"Rajajinagar, Bangalore",Bangalore,100%,(70 votes),₹500
82,Dr. E Divya,"MBBS, MS - Obstetrics & Gynaecology",4 Years Experience Overall,Gynecologist,"Miyapur, Hyderabad",Hyderabad,0,0,₹600
83,Dr. Keerti Khetan,"MBBS, MS - Obstetrics & Gynaecology",29 Years Experience Overall  (25 years as specialist),Gynecologist,"Pusa Road, Delhi",Delhi,92%,(24 votes),₹1500
84,Dr. Bhawna Bansal,"MBBS, DGO, DNB - Obstetrics & Gynecology",16 Years Experience Overall  (12 years as specialist),Gynecologist,"Rohini, Delhi",Delhi,100%,(17 votes),₹500
85,Dr. Meera Kumari,"MBBS, MS - Obstetrics & Gynaecology",10 Years Experience Overall  (8 years as specialist),Gynecologist,"Kanakpura Road, Bangalore",Bangalore,100%,(13 votes),₹700
86,Dr. Rashmi Motiram Bhamare,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (9 years as specialist),Gynecologist,"Baner Road, Pune",Pune,100%,(22 votes),₹500
87,Dr. Poornima Kinila,"MBBS, DGO",17 Years Experience Overall,Gynecologist,"JP Nagar, Bangalore",Bangalore,100%,(27 votes),₹750
88,Dr. Pooja A Kundargi,"MBBS, DGO",15 Years Experience Overall  (10 years as specialist),Gynecologist,"Nagarbhavi, Bangalore",Bangalore,99%,(189 votes),₹500
89,Dr. Julie Thomas,"MBBS, DNB - Obstetrics & Gynecology",23 Years Experience Overall  (14 years as specialist),Gynecologist,"Electronics City, Bangalore",Bangalore,88%,(110 votes),₹1000
90,Dr. Shyam V Desai,"MD - Obstetrics & Gynaecology, MBBS",45 Years Experience Overall  (43 years as specialist),Gynecologist,"Malad West, Mumbai",Mumbai,0,0,₹1200
91,Dr. Yugin Suresh Gupte,"MBBS, DGO, DNB - Obstetrics & Gynecology",26 Years Experience Overall  (23 years as specialist),Gynecologist,"Senapati Bapat Marg, Pune",Pune,0,0,₹500
92,Dr. Veerapaneni Sravya,"MBBS, MS - Obstetrics & Gynaecology",6 Years Experience Overall  (3 years as specialist),Gynecologist,"Ameerpet, Hyderabad",Hyderabad,100%,(32 votes),₹500
93,Dr. Bana Rupa,"MBBS, MS - Obstetrics & Gynaecology",16 Years Experience Overall  (9 years as specialist),Gynecologist,"Jubilee Hills, Hyderabad",Hyderabad,0,0,₹800
94,Dr. Chandralekha,"MBBS, DGO",36 Years Experience Overall  (30 years as specialist),Gynecologist,"Adyar, Chennai",Chennai,95%,(234 votes),₹1000
95,Dr. Deepthi Dandamudi,"MBBS, DGO, DNB - Obstetrics & Gynecology",14 Years Experience Overall  (9 years as specialist),Gynecologist,"Mehdipatnam, Hyderabad",Hyderabad,97%,(31 votes),₹600
96,Dr. Tripti Sharan,"MBBS, MS - Obstetrics & Gynaecology",29 Years Experience Overall  (25 years as specialist),Gynecologist,"Pusa Road, Delhi",Delhi,64%,(11 votes),₹1500
97,Dr. Harshita Ramamurthy,"MBBS, MS - Obstetrics & Gynaecology",12 Years Experience Overall  (8 years as specialist),Gynecologist,"JP Nagar 6 Phase, Bangalore",Bangalore,0,0,₹500
98,Dr. K.S Jeyarani Kamaraj,"MBBS, MD - Obstetrics & Gynaecology, DGO",34 Years Experience Overall  (28 years as specialist),Gynecologist,"Vadapalani, Chennai",Chennai,92%,(550 votes),₹600
99,Dr. Aparna Muddana,"MBBS, MS - Obstetrics & Gynaecology",20 Years Experience Overall  (15 years as specialist),Gynecologist,"Greater Kailash Part 2, Delhi",Delhi,100%,(26 votes),₹800
100,Dr. Kanika Kalyani,"MBBS, MD - Obstetrics & Gynaecology",13 Years Experience Overall  (8 years as specialist),Gynecologist,"Borivali, Mumbai",Mumbai,0,0,₹500
101,Dr. Sandhya J,"MBBS, MD - Obstetrics & Gynaecology",14 Years Experience Overall  (9 years as specialist),Gynecologist,"Kanakpura Road, Bangalore",Bangalore,0,0,₹500
102,Dr. Suchita Pisat,"MBBS, DGO, FCPS - Mid. & Gynae",15 Years Experience Overall,Gynecologist,"Andheri West, Mumbai",Mumbai,100%,(43 votes),₹800
103,Dr. A Ashwini,"MBBS, MD - Obstetrics & Gynaecology",34 Years Experience Overall  (31 years as specialist),Gynecologist,"Hitech City, Hyderabad",Hyderabad,93%,(14 votes),₹700
104,Dr. Manju Gupta,"MBBS, MS - Obstetrics & Gynaecology",16 Years Experience Overall  (13 years as specialist),Gynecologist,"Mayur Vihar Ph-I, Delhi",Delhi,97%,(318 votes),₹700
105,Dr. Sagi Swathi,"MBBS, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (7 years as specialist),Gynecologist,"Himayat Nagar, Hyderabad",Hyderabad,0,0,₹500
106,Dr. Maimoona Ahmed,"MBBS, MS - Obstetrics & Gynaecology",11 Years Experience Overall,Gynecologist,"Malad West, Mumbai",Mumbai,0,0,₹750
107,Dr. Dhwani Mago,"DGO, MBBS",15 Years Experience Overall  (14 years as specialist),Gynecologist,"Greater Kailash Part 1, Delhi",Delhi,100%,(103 votes),₹1000
108,Dr. Abdul Basith,"MBBS, MD - Obstetrics & Gynaecology",12 Years Experience Overall  (9 years as specialist),Gynecologist,"Kodambakkam, Chennai",Chennai,99%,(67 votes),₹500
109,Dr. M Vijayalakshmi,"MBBS, DGO",13 Years Experience Overall  (10 years as specialist),Gynecologist,"Kilpauk, Chennai",Chennai,0,0,₹500
110,Dr. Jyotsna Patel,"MD - Obstetrics & Gynaecology, DGO, MBBS",28 Years Experience Overall  (25 years as specialist),Gynecologist,"Andheri East, Mumbai",Mumbai,89%,(149 votes),₹1000
111,Dr. Aneesh Sabnis,"MD - Midwifery & Gynecology, MBBS",32 Years Experience Overall  (27 years as specialist),Gynecologist,"Andheri, Mumbai",Mumbai,96%,(221 votes),₹800
112,Dr. Chaitra Gowda K N,"MBBS, DGO, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (9 years as specialist),Gynecologist,"Bellandur, Bangalore",Bangalore,99%,(76 votes),₹850
113,Dr. G Srividya Reddy,"MBBS, MS - Obstetrics & Gynaecology",12 Years Experience Overall  (8 years as specialist),Gynecologist,"Marathahalli, Bangalore",Bangalore,0,0,₹800
114,Dr. Sneha A. Deshpande,"MBBS, DNB - Obstetrics & Gynecology, DGO",15 Years Experience Overall  (12 years as specialist),Gynecologist,"Kharadi, Pune",Pune,93%,(75 votes),₹500
115,Dr. Anuradha Dakour,"MBBS, DGO",18 Years Experience Overall  (15 years as specialist),Gynecologist,"Lajpat Nagar, Delhi",Delhi,97%,(453 votes),₹500
116,Dr. Meeta Airen,"MBBS, DNB - Obstetrics & Gynecology",24 Years Experience Overall  (15 years as specialist),Gynecologist,"Lajpat Nagar 4, Delhi",Delhi,0,0,₹400
117,Dr. A Aishwarya,"MBBS, DNB - Obstetrics & Gynecology, MS - Obstetrics & Gynaecology",9 Years Experience Overall  (4 years as specialist),Gynecologist,"Besant Nagar, Chennai",Chennai,0,0,₹500
118,Dr. Nimmi Rastogi,"MBBS, DGO",20 Years Experience Overall,Gynecologist,"Malviya Nagar, Delhi",Delhi,84%,(68 votes),₹1000
119,Dr. Reshu Saraogi,"MBBS, MS - Obstetrics & Gynaecology",17 Years Experience Overall  (12 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,97%,(1521 votes),₹550
120,Dr. Ujwala,"MBBS, MS - Obstetrics & Gynaecology",6 Years Experience Overall  (3 years as specialist),Gynecologist,"Jayanagar 8 Block, Bangalore",Bangalore,0,0,₹500
121,Dr. Vimala CH,"MBBS, DGO, DNB - Obstetrics & Gynecology",16 Years Experience Overall  (12 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,98%,(234 votes),₹800
122,Dr. Anita Gupta,"MBBS, MS - Obstetrics & Gynaecology",39 Years Experience Overall  (35 years as specialist),Gynecologist,"Greater Kailash Part 2, Delhi",Delhi,98%,(86 votes),₹1500
123,Dr. Niveditha V C,"MBBS, MS - Obstetrics & Gynaecology",11 Years Experience Overall  (6 years as specialist),Gynecologist,"Kolathur, Chennai",Chennai,98%,(317 votes),₹300
124,Dr. Tanvi Desai,"MBBS, DNB - Obstetrics & Gynecology",13 Years Experience Overall  (7 years as specialist),Gynecologist,"HSR Layout, Bangalore",Bangalore,100%,(13 votes),₹500
125,Dr. Rakhi Mohan,"MBBS, DNB - Obstetrics & Gynecology",15 Years Experience Overall  (10 years as specialist),Gynecologist,"Doddakammanahalli, Bangalore",Bangalore,0,0,₹600
126,Dr. Navya K C Suvvari,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",8 Years Experience Overall  (7 years as specialist),Gynecologist,"Kondapur, Hyderabad",Hyderabad,0,0,₹700
127,Dr. Nilofer,"MBBS, MS - Obstetrics & Gynaecology",13 Years Experience Overall  (8 years as specialist),Gynecologist,"Mehdipatnam, Hyderabad",Hyderabad,0,0,₹600
128,Dr. Archana R Salve,"MS - Obstetrics & Gynaecology, MBBS",17 Years Experience Overall  (11 years as specialist),Gynecologist,"Kalyani Nagar, Pune",Pune,0,0,₹800
129,Dr. Nidaa Ashfaq Ahmed Khan,"MBBS, MS - Obstetrics & Gynaecology",6 Years Experience Overall,Gynecologist,"Basavanagudi, Bangalore",Bangalore,0,0,₹550
130,Dr. Meenakshi Ahuja,"MBBS, MD - Obstetrics & Gynaecology",34 Years Experience Overall  (29 years as specialist),Gynecologist,"Greater Kailash Part 2, Delhi",Delhi,95%,(38 votes),₹1500
131,Dr. A. Santhi,"MBBS, MS - Obstetrics & Gynaecology",20 Years Experience Overall  (16 years as specialist),Gynecologist,"Lakdikapul, Hyderabad",Hyderabad,0,0,₹800
132,Dr. Shilpa Abhyankar,"MBBS, DGO, MD - Midwifery & Gynecology",28 Years Experience Overall  (24 years as specialist),Gynecologist,"Dadar East, Mumbai",Mumbai,97%,(259 votes),₹800
133,Dr. M.Chandrakanth Rao,"MBBS, DGO",26 Years Experience Overall  (25 years as specialist),Gynecologist,"Boduppal, Hyderabad",Hyderabad,0,0,₹850
134,Dr. Mohini N Prasad,"MBBS, MRCOG(UK)",46 Years Experience Overall  (36 years as specialist),Gynecologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹740
135,Dr. Raksha Madhu,"MBBS, MS - Obstetrics & Gynaecology",9 Years Experience Overall  (6 years as specialist),Gynecologist,"HBR Layout, Bangalore",Bangalore,0,0,₹600
136,Dr. Aanchal Agarwal,"MBBS, DNB - Obstetrics & Gynecology, DGO",21 Years Experience Overall  (18 years as specialist),Gynecologist,"Punjabi Bagh, Delhi",Delhi,0,0,₹1000
137,Dr. (Mrs.) Vishnu Vandana,"MBBS, MS - Obstetrics & Gynaecology",13 Years Experience Overall  (12 years as specialist),Gynecologist,"HSR Layout, Bangalore",Bangalore,96%,(56 votes),₹500
138,Dr. Pramila Rodrigues,"MBBS, DGO, DNB - Obstetrics & Gynecology",23 Years Experience Overall  (19 years as specialist),Gynecologist,"Bannerghatta Road, Bangalore",Bangalore,93%,(27 votes),₹600
139,Dr. Archana Anil Nagaonkar,"MBBS, DGO",16 Years Experience Overall,Gynecologist,"Madhapur, Hyderabad",Hyderabad,94%,(103 votes),₹600
140,Dr. Vrunda  Karanjgaokar,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, MRCOG(UK), CCT - OBG, MBBS",29 Years Experience Overall  (24 years as specialist),Gynecologist,"Chembur, Mumbai",Mumbai,0,0,₹1200
141,Dr. Sharadha SO,"MBBS, DNB - Obstetrics & Gynecology, DGO",16 Years Experience Overall  (13 years as specialist),Gynecologist,"KK Nagar, Chennai",Chennai,100%,(203 votes),₹500
